# Dominican republic Mencia pasture succession and Aceitillar morphometic data,,,,,,,,
"# Original file ""Mencia body cond site pers indivs.xls"" was received from Steve Latta via meail and saved as a workding  .csv file on 2/5/2018.
",,,,,,,,
"# Original .xls file password proteted; password = ""final""  all lower case",,,,,,,,
"# This file only contains wing and mass data for ""site persistent"" individuals as scored by SL latta",,,,,,,,
"# See  file ""All Mencia B.xls"" for SL's original site persistence data (capture histories in wide formake",,,,,,,,
# Files processed by Nathan Brouwer in R for re-submission of manuscript 2/5/2018,,,,,,,,
# Note that morphometic data occurs in other spreadsheets but usually not all years are available; this also include Mencia AND Aceitillliar,,,,,,,,
spp.code,age,sex,site,date.cap.org,wing,tarsus,mass,site.age
BCPT,HY,,Aceitillar,1/17/1995,85,,27.2,mature
BCPT,HY,,Aceitillar,1/18/1995,82,,26.9,mature
BCPT,HY,,Aceitillar,1/18/1995,79.5,,24.4,mature
BCPT,HY,,Aceitillar,1/18/1995,80.5,,26.7,mature
BCPT,HY,,Aceitillar,1/27/1995,80,,29.1,mature
BCPT,HY,,Aceitillar,1/28/1995,86,,27.9,mature
BCPT,AHY,,Aceitillar,31-Jan-97,84,,25.3,mature
BCPT,HY,,Aceitillar,1/28/1995,82,,25.5,mature
BCPT,HY,,Aceitillar,1/28/1995,80.5,,25.9,mature
BCPT,HY,,Aceitillar,1/28/1995,84.5,,28.9,mature
BCPT,HY,,Aceitillar,1/28/1995,82,,27.7,mature
BCPT,AHY,,Aceitillar,1/29/1995,85.5,,25.5,mature
BCPT,HY,,Aceitillar,1/29/1995,83,,27.3,mature
BCPT,HY,,Aceitillar,1/23/1996,84.5,26.7,27,mature
BCPT,HY,,Aceitillar,1/23/1996,84.5,26.6,27.8,mature
BCPT,AHY,,Aceitillar,1/23/1996,83.5,26.2,28.2,mature
BCPT,HY,,Aceitillar,1/23/1996,83.5,26.2,29.8,mature
BCPT,HY,,Aceitillar,1/23/1996,80.5,25.1,26.5,mature
BCPT,HY,,Aceitillar,1/23/1996,82,26.6,25.3,mature
BCPT,AHY,,Aceitillar,3-Feb-97,82.5,,25.4,mature
BCPT,HY,,Aceitillar,1/25/1996,78.5,25.4,25.7,mature
BCPT,HY,,Aceitillar,1/25/1996,81.5,22.9,23.3,mature
BCPT,HY,,Aceitillar,1/25/1996,81,26.2,25.7,mature
BCPT,AHY,,Aceitillar,1/25/1996,88.5,25.8,23.1,mature
BCPT,HY,,Aceitillar,1/25/1996,81,25.7,30.2,mature
BCPT,AHY,,Aceitillar,1/25/1996,85,26.4,27.9,mature
BCPT,HY,,Aceitillar,1/26/1996,82,25.4,26.1,mature
BCPT,AHY,,Aceitillar,30697,89.5,26.9,27.9,mature
BCPT,HY,,Aceitillar,30697,83.5,25.7,28.6,mature
BCPT,AHY,,Aceitillar,30797,89,26.1,26.8,mature
BCPT,AHY,,Aceitillar,30797,89,26.8,30.5,mature
BCPT,AHY,,Aceitillar,31097,86.5,25.3,26.7,mature
BCPT,AHY,,Aceitillar,31197,82,22.9,25.9,mature
BCPT,AHY,,Aceitillar,31197,87.5,26.1,27.8,mature
BCPT,HY,,Aceitillar,31197,82.5,27,28.3,mature
BCPT,HY,,Aceitillar,31197,79.5,24.7,28.7,mature
BCPT,HY,,Aceitillar,31297,79,22.4,26.5,mature
BCPT,HY,,Aceitillar,3-Feb-97,82,,27.3,mature
BCPT,HY,,Aceitillar,3-Feb-97,81,,24.6,mature
BCPT,AHY,,Aceitillar,2-Feb-97,83.5,,27.9,mature
BCPT,AHY,,Aceitillar,2-Feb-97,85.5,,26.7,mature
BCPT,AHY,,Aceitillar,2-Feb-97,84.5,,25.2,mature
BCPT,AHY,,Aceitillar,1-Feb-97,89.5,,28.5,mature
BCPT,HY,,Aceitillar,1-Feb-97,81,,26.3,mature
BCPT,HY,,Aceitillar,1-Feb-97,84,,26.9,mature
BCPT,HY,,Aceitillar,1-Feb-97,81,,25.9,mature
BCPT,AHY,,Aceitillar,1-Feb-97,93,,25.7,mature
BCPT,AHY,,Aceitillar,1-Feb-97,87.5,,28,mature
BCPT,HY,,Aceitillar,1-Feb-97,82,,27.2,mature
BCPT,AHY,,Aceitillar,1-Feb-97,89.5,,27.8,mature
BCPT,AHY,,Aceitillar,31-Jan-97,92,,28.2,mature
BCPT,HY,,Aceitillar,31-Jan-97,85,,26.4,mature
BCPT,HY,,Aceitillar,31-Jan-97,80.5,,26.9,mature
BCPT,AHY,,Aceitillar,31-Jan-97,82.5,,28.9,mature
BCPT,AHY,,Aceitillar,31-Jan-97,90.5,,23.8,mature
BCPT,AHY,,Aceitillar,31-Jan-97,89,,26.2,mature
BCPT,AHY,,Aceitillar,9-Nov-93,94,26.9,26.7,mature
BCPT,AHY,,Aceitillar,9-Nov-93,81,25,24.4,mature
BCPT,HY,,Aceitillar,9-Nov-93,83.5,26.7,28.3,mature
BCPT,HY,,Aceitillar,10-Nov-93,79,25.5,25.1,mature
BCPT,AHY,,Aceitillar,10-Nov-93,88,25.9,26.5,mature
BCPT,AHY,,Aceitillar,2-Feb-97,88.5,,24.2,mature
BCPT,AHY,,Aceitillar,10-Nov-93,84,,27.6,mature
BCPT,AHY,,Aceitillar,11-Nov-93,85.5,26.4,26.1,mature
BCPT,HY,,Aceitillar,11-Nov-93,86,26,26.5,mature
BCPT,AHY,,Aceitillar,11-Nov-93,88.5,24.1,24.9,mature
BCPT,AHY,,Aceitillar,11-Nov-93,87.5,26.4,26.5,mature
BCPT,HY,,Aceitillar,15-Jan-94,81,25.3,27.1,mature
BCPT,HY,,Aceitillar,17-Jan-92,82,25.3,25.3,mature
BCPT,HY,,Aceitillar,20-Jan-94,90,25.9,27.4,mature
BCPT,AHY,,Aceitillar,20-Jan-94,79,25.8,22.4,mature
BCPT,HY,,Aceitillar,20-Jan-94,81,25.3,24.6,mature
BCPT,HY,,Aceitillar,21-Jan-94,84,26.4,25.6,mature
BCPT,HY,,Aceitillar,21-Jan-94,87.5,24.8,24.2,mature
BCPT,HY,,Aceitillar,21-Jan-94,86,26.5,26.3,mature
BCPT ,AHY,,Aceitillar,2-Feb-97,80.5,,26.2,mature
BFGR,AHY,F,Caoba,12-Feb-05,51.5,16.2,9.1,5yr
BFGR,HY,F,Caoba,14-Nov-04,51,17,9.7,5yr
BFGR,AHY,F,Caoba,25-Nov-06,52,17,9.7,5yr
BFGR,AHY,F,Caoba,12-Feb-05,52,16.4,9.8,5yr
BFGR,AHY,F,Caoba,12-Nov-03,53,16.5,9.9,5yr
BFGR,HY,F,Caoba,13-Nov-04,59,16.5,9.9,5yr
BFGR,HY,F,Caoba,16-Nov-05,52.5,16.8,10.1,5yr
BFGR,AHY,F,Caoba,12-Feb-05,50.5,16.7,10.1,5yr
BFGR,AHY,F,Caoba,10-Feb-05,51.5,15.5,9.6,5yr
BFGR,AHY,F,Caoba,15-Nov-05,51.5,15.9,9.9,5yr
BFGR,HY,F,Caoba,11-Jan-05,52,16.4,10.3,5yr
BFGR,HY,F,Caoba,15-Nov-04,52.5,16.7,10.6,5yr
BFGR,AHY,F,Caoba,17-Feb-06,50.5,16.5,10.6,5yr
BFGR,AHY,F,Caoba,9-Feb-05,53,16.7,11,5yr
BFGR,AHY,F,Caoba,12-Feb-05,52.3,16.2,10.7,5yr
BFGR,AHY,M,Caoba,11-Nov-03,53.5,17.3,10.1,5yr
BFGR,AHY,M,Caoba,13-Jan-07,54,15.9,9.3,5yr
BFGR,AHY,M,Caoba,17-Dec-05,54,16.4,10,5yr
BFGR,AHY,M,Caoba,17-Nov-05,53.5,16.7,10.2,5yr
BFGR,AHY,M,Caoba,16-Feb-06,54.5,16.9,10.4,5yr
BFGR,HY,M,Caoba,9-Feb-05,53,16.4,10.2,5yr
BFGR,AHY,M,Caoba,18-Feb-06,52.5,15.9,9.9,5yr
BFGR,AHY,M,Caoba,17-Feb-06,52.5,16.6,10.4,5yr
BFGR,AHY,M,Caoba,16-Feb-06,51.5,16.2,10.4,5yr
BFGR,AHY,M,Caoba,12-Nov-03,54.5,16.4,11.3,5yr
BFGR,AHY,M,Caoba,10-Nov-03,51,16.1,11.1,5yr
BFGR,AHY,M,Caoba,24-Nov-06,52,16.2,11.2,5yr
BFGR,HY,,Caoba,10-Jan-05,59,16.7,6.2,5yr
BFGR,HY,,Caoba,9-Jan-05,47,14.6,7,5yr
BFGR,HY,,Caoba,18-Feb-06,52,16.6,9.9,5yr
BFGR,HY,,Caoba,23-Feb-04,51,15.9,9.6,5yr
BFGR,HY,,Caoba,21-Feb-04,49,16.4,10.4,5yr
BFGR,HY,,Caoba,18-Dec-05,52,15.4,10.3,5yr
BFGR,AHY,F,Corral,13-Nov-03,50.5,14.7,9.2,20yr
BFGR,HY,F,Corral,23-Nov-04,54.5,16.1,11,20yr
BFGR,AHY,F,Corral,11-Jan-04,52.8,16.6,11.6,20yr
BFGR,AHY,F,Corral,13-Nov-03,51,15.7,12,20yr
BFGR,HY,M,Corral,24-Feb-06,52,15.3,8.8,20yr
BFGR,AHY,M,Corral,22-Nov-04,54,15.5,10.8,20yr
BFGR,AHY,M,Corral,24-Nov-04,54,15.8,11.6,20yr
BFGR,AHY,F,Cueva,10-Nov-05,50.5,15.9,8.2,2yr
BFGR,AHY,F,Cueva,4-Jan-04,50.5,16.5,9.2,2yr
BFGR,HY,F,Cueva,5-Feb-05,53,16.9,9.7,2yr
BFGR,HY,F,Cueva,13-Feb-06,51,16,9.2,2yr
BFGR,HY,F,Cueva,13-Nov-05,50.5,17.2,9.9,2yr
BFGR,HY,F,Cueva,11-Nov-05,51,15.8,9.2,2yr
BFGR,HY,F,Cueva,12-Nov-05,53,16.8,9.8,2yr
BFGR,HY,F,Cueva,23-Nov-06,50,16.6,9.8,2yr
BFGR,AHY,F,Cueva,18-Feb-07,52.5,16.3,9.9,2yr
BFGR,,F,Cueva,10-Nov-03,50.5,16.5,10.4,2yr
BFGR,AHY,F,Cueva,12-Jan-06,54,16.8,10.6,2yr
BFGR,AHY,F,Cueva,4-Feb-05,48,16,10.1,2yr
BFGR,AHY,F,Cueva,22-Nov-06,51,15.6,10.1,2yr
BFGR,AHY,F,Cueva,14-Dec-05,53,15.4,10,2yr
BFGR,HY,F,Cueva,11-Nov-05,51,16.3,10.6,2yr
BFGR,HY,F,Cueva,12-Nov-05,51.5,16.2,10.9,2yr
BFGR,HY,F,Cueva,12-Nov-04,49.5,16,11,2yr
BFGR,AHY,F,Cueva,10-Nov-04,53.5,15.9,11.6,2yr
BFGR,HY,M,Cueva,10-Nov-03,49.5,16.5,9.3,2yr
BFGR,AHY,M,Cueva,11-Nov-05,50.5,16.8,9.5,2yr
BFGR,HY,M,Cueva,18-Feb-07,54.5,16.2,9.4,2yr
BFGR,HY,M,Cueva,10-Nov-03,49.5,16.5,9.9,2yr
BFGR,AHY,M,Cueva,8-Nov-03,53.5,16.2,10.5,2yr
BFGR,HY,M,Cueva,12-Feb-06,55.5,15.8,12,2yr
BFGR,HY,F,Morelia,20-Nov-04,47.5,15.9,8.8,10yr
BFGR,HY,F,Morelia,21-Jan-06,52,16.2,9.3,10yr
BFGR,HY,F,Morelia,18-Nov-05,50.5,15.9,9.3,10yr
BFGR,HY,F,Morelia,24-Feb-07,50,15.5,9.3,10yr
BFGR,HY,F,Morelia,20-Jan-07,50,16,9.7,10yr
BFGR,AHY,F,Morelia,19-Nov-04,55,16.9,10.4,10yr
BFGR,AHY,F,Morelia,20-Nov-04,52,17,10.6,10yr
BFGR,HY,M,Morelia,20-Jan-07,54.5,16.6,9.2,10yr
BFGR,AHY,M,Morelia,20-Feb-06,52,16.6,10,10yr
BFGR,HY,M,Morelia,24-Feb-07,51,16.2,10.5,10yr
BFGR,AHY,M,Morelia,21-Jan-06,53,15.8,10.3,10yr
BFGR,HY,M,Morelia,23-Nov-03,53,15.9,13.2,10yr
BTBW,AHY,F,Aceitillar,111496,60.5,18.6,9.6,mature
BTBW,HY,F,Aceitillar,111496,60,18.3,8,mature
BTBW,AHY,F,Aceitillar,111596,61.5,19.1,9.8,mature
BTBW,HY,F,Aceitillar,111596,58,19.6,8.8,mature
BTBW,AHY,F,Aceitillar,20-Jan-94,62,20.3,7.8,mature
BTBW,HY,F,Aceitillar,9-Nov-93,59,20,8.7,mature
BTBW,AHY,F,Aceitillar,31-Jan-97,61.5,,7.9,mature
BTBW,HY,F,Aceitillar,31-Jan-97,60,18.8,8.1,mature
BTBW,HY,F,Aceitillar,12497,61,21,9.4,mature
BTBW,AHY,F,Aceitillar,30597,63,19.8,8.2,mature
BTBW,HY,F,Aceitillar,30597,62,20.5,8.4,mature
BTBW,AHY,F,Aceitillar,30697,62,20.6,8.5,mature
BTBW,HY,F,Aceitillar,31097,60,21.8,8.3,mature
BTBW,HY,M,Aceitillar,3-Mar-94,64,20.6,9.5,mature
BTBW,AHY,M,Aceitillar,4-Mar-94,67,20.5,9.3,mature
BTBW,HY,M,Aceitillar,21-Jan-94,64,20.1,8.9,mature
BTBW,HY,M,Aceitillar,112096,63,21.1,9.5,mature
BTBW,HY,M,Aceitillar,112196,63.5,19.6,9.5,mature
BTBW,HY,M,Aceitillar,10-Nov-93,66.5,20.1,9,mature
BTBW,AHY,M,Aceitillar,2-Mar-94,66,21.1,9.5,mature
BTBW,AHY,M,Aceitillar,2-Feb-97,64.5,,8.5,mature
BTBW,HY,M,Aceitillar,1/18/1995,64,,9,mature
BTBW,HY,M,Aceitillar,1/28/1995,63,,8.1,mature
BTBW,HY,M,Aceitillar,1/23/1996,65.5,21.6,8.9,mature
BTBW,HY,M,Aceitillar,1-Feb-97,63,,8.4,mature
BTBW,HY,M,Aceitillar,11997,65,20.8,10,mature
BTBW,AHY,M,Aceitillar,12497,66,20.6,9.6,mature
BTBW,HY,M,Aceitillar,12597,60,20.1,8.5,mature
BTBW,HY,M,Aceitillar,30597,64,20.4,8.6,mature
BTBW,HY,M,Aceitillar,30597,65,21.6,9.3,mature
BTBW,AHY,M,Aceitillar,30697,64,19.2,8.5,mature
BTBW,AHY,M,Aceitillar,31097,65.5,20.1,8.7,mature
BTBW,HY,M,Aceitillar,31197,62,20.7,8.5,mature
BTBW,AHY,F,Caoba,11-Jan-05,61,18.3,8,5yr
BTBW,HY,F,Caoba,12-Feb-05,63.5,18.7,8.7,5yr
BTBW,HY,F,Caoba,8-Jan-05,60,18.2,8.5,5yr
BTBW,HY,F,Caoba,6-Jan-04,59.5,18.3,8.8,5yr
BTBW,HY,F,Caoba,14-Nov-05,62,18.3,8.9,5yr
BTBW,HY,F,Caoba,27-Nov-06,62,18.3,9.4,5yr
BTBW,HY,F,Caoba,12-Nov-04,61.5,18.9,9.8,5yr
BTBW,HY,M,Caoba,26-Nov-06,61.5,18.5,7.9,5yr
BTBW,AHY,M,Caoba,18-Nov-05,62.5,18.7,8,5yr
BTBW,HY,M,Caoba,8-Jan-05,65.5,18.6,8.9,5yr
BTBW,HY,M,Caoba,28-Nov-06,62.5,19,9.2,5yr
BTBW,HY,M,Caoba,14-Jan-06,64,18.3,9,5yr
BTBW,HY,F,Corral,23-Nov-05,57.5,18.8,7.7,20yr
BTBW,HY,F,Corral,26-Dec-05,60.5,19,7.9,20yr
BTBW,HY,F,Corral,20-Jan-05,59.5,18.5,8.2,20yr
BTBW,HY,F,Corral,18-Jan-05,59,18.6,8.3,20yr
BTBW,AHY,F,Corral,26-Nov-05,59,18.1,8.4,20yr
BTBW,HY,F,Corral,27-Feb-04,58,17.3,8.1,20yr
BTBW,HY,F,Corral,5-Dec-06,58,17.5,8.2,20yr
BTBW,HY,F,Corral,21-Nov-04,62,19.2,9,20yr
BTBW,HY,F,Corral,25-Dec-05,61.5,18.3,8.7,20yr
BTBW,AHY,F,Corral,23-Nov-04,63,18.1,8.7,20yr
BTBW,AHY,F,Corral,22-Jan-07,62,18.3,8.9,20yr
BTBW,HY,F,Corral,22-Jan-07,60.5,18,8.9,20yr
BTBW,HY,F,Corral,23-Nov-04,59.5,18.2,9.5,20yr
BTBW,HY,F,Corral,20-Nov-04,60,19.1,10,20yr
BTBW,AHY,M,Corral,26-Nov-05,60.5,18.1,8.3,20yr
BTBW,HY,M,Corral,18-Jan-05,64,19.3,9.1,20yr
BTBW,AHY,M,Corral,17-Feb-05,65,19.3,9.1,20yr
BTBW,HY,M,Corral,5-Dec-06,63,18.5,8.8,20yr
BTBW,HY,M,Corral,20-Jan-05,63.5,19.8,9.5,20yr
BTBW,AHY,M,Corral,23-Nov-04,61.5,18.4,8.9,20yr
BTBW,HY,M,Corral,6-Dec-06,64,18.3,8.9,20yr
BTBW,AHY,M,Corral,14-Nov-03,64,19,9.3,20yr
BTBW,AHY,M,Corral,21-Nov-04,65.5,19.4,9.5,20yr
BTBW,HY,M,Corral,3-Dec-06,63.5,18.6,9.3,20yr
BTBW,HY,M,Corral,22-Nov-05,62.5,19.1,10,20yr
BTBW,HY,F,Cueva,12-Nov-05,61,19,8,2yr
BTBW,HY,F,Cueva,5-Jan-05,58.5,18.8,8.2,2yr
BTBW,HY,F,Cueva,11-Nov-04,60.5,18.8,8.4,2yr
BTBW,HY,F,Cueva,11-Jan-07,59,18.3,8.3,2yr
BTBW,AHY,F,Cueva,9-Nov-03,60,18.1,8.3,2yr
BTBW,HY,F,Cueva,10-Nov-04,60.5,17.5,8.1,2yr
BTBW,HY,F,Cueva,9-Nov-04,59,19.1,8.9,2yr
BTBW,HY,F,Cueva,9-Jan-07,60,18.4,8.6,2yr
BTBW,HY,F,Cueva,22-Nov-06,61.5,18.6,8.9,2yr
BTBW,HY,F,Cueva,22-Nov-06,60,17.8,9.1,2yr
BTBW,AHY,F,Cueva,21-Nov-06,61,17.7,9.6,2yr
BTBW,HY,M,Cueva,12-Jan-06,62.5,18.1,8.1,2yr
BTBW,HY,M,Cueva,5-Feb-05,64.5,18.8,8.8,2yr
BTBW,HY,M,Cueva,23-Nov-06,60,18.8,8.8,2yr
BTBW,HY,M,Cueva,9-Jan-07,63.5,18.1,9.2,2yr
BTBW,AHY,M,Cueva,10-Nov-04,65,18,9.2,2yr
BTBW,AHY,M,Cueva,7-Feb-05,64.5,18.1,9.3,2yr
BTBW,AHY,M ,Cueva,7-Jan-05,64,19.2,9.3,2yr
BTBW,HY,F,Morelia,14-Feb-05,59,18.2,7.5,10yr
BTBW,AHY,F,Morelia,18-Nov-04,59.9,18.5,8.1,10yr
BTBW,HY,F,Morelia,22-Nov-05,59.5,19.3,8.5,10yr
BTBW,HY,F,Morelia,14-Feb-05,59,18.2,8.1,10yr
BTBW,HY,F,Morelia,19-Jan-07,61.5,18.4,8.2,10yr
BTBW,HY,F,Morelia,19-Nov-05,60,18.7,8.5,10yr
BTBW,HY,F,Morelia,2-Dec-06,61,19.5,9.1,10yr
BTBW,HY,F,Morelia,29-Nov-06,59,19.4,9.1,10yr
BTBW,HY,F,Morelia,17-Nov-04,60,18.9,9,10yr
BTBW,HY,F,Morelia,22-Dec-05,60.5,18,8.6,10yr
BTBW,HY,F,Morelia,16-Jan-07,58.5,18.7,9,10yr
BTBW,AHY,F,Morelia,18-Jan-07,59,17.5,8.5,10yr
BTBW,HY,F,Morelia,21-Nov-03,62.5,19.3,9.4,10yr
BTBW,HY,F,Morelia,23-Feb-04,61.5,19,9.6,10yr
BTBW,HY,F,Morelia,23-Dec-05,60.5,18.4,9.5,10yr
BTBW,HY,F,Morelia,16-Jan-07,58,18.5,9.8,10yr
BTBW,HY,M,Morelia,29-Nov-06,65.5,19.5,8.6,10yr
BTBW,HY,M,Morelia,19-Nov-05,63,18.3,8.2,10yr
BTBW,HY,M,Morelia,1-Dec-06,62,19.1,8.7,10yr
BTBW,HY,M,Morelia,14-Jan-05,62.5,19.4,8.9,10yr
BTBW,AHY,M,Morelia,8-Jan-04,62.5,19.4,9,10yr
BTBW,HY,M,Morelia,17-Nov-04,65.5,19.5,9.1,10yr
BTBW,HY,M,Morelia,16-Jan-07,62.5,18,8.4,10yr
BTBW,AHY,M,Morelia,30-Nov-06,61,18.4,8.7,10yr
BTBW,AHY,M,Morelia,17-Nov-04,65,19.3,9.3,10yr
BTBW,HY,M,Morelia,8-Jan-04,61.5,18.4,8.9,10yr
BTBW,HY,M,Morelia,19-Nov-04,64,19.2,9.3,10yr
BTBW,HY,M,Morelia,29-Nov-06,62.5,18.2,8.9,10yr
BTBW,HY,M,Morelia,21-Jan-06,62,19.1,9.5,10yr
BTBW,AHY,M,Morelia,17-Nov-04,63.5,19.3,9.6,10yr
BTBW,HY,M,Morelia,17-Jan-07,62,18.4,9.2,10yr
BTBW,AHY,M,Morelia,21-Nov-03,65.5,19,9.7,10yr
BTBW,HY,M,Morelia,18-Nov-05,63,17.7,9.1,10yr
BTBW,HY,M,Morelia,18-Nov-05,65.5,18.2,9.5,10yr
BTBW,AHY,M,Morelia,21-Nov-03,62.5,17.5,9.4,10yr
CMWA,HY,F,Aceitillar,111596,66,18.4,10.2,mature
CMWA,HY,F,Aceitillar,111996,64,18.3,9.7,mature
CMWA,AHY,F,Aceitillar,3-Mar-94,64.5,,9.1,mature
CMWA,AHY,F,Aceitillar,3-Mar-94,63,,9.7,mature
CMWA,HY,F,Aceitillar,8-Mar-94,64,20.1,9.1,mature
CMWA,HY,F,Aceitillar,16-Jan-94,65,21.8,8.9,mature
CMWA,HY,F,Aceitillar,17-Jan-94,65,21,10.4,mature
CMWA,AHY,F,Aceitillar,21-Jan-94,65,20.7,10.5,mature
CMWA,HY,F,Aceitillar,21-Jan-94,63,19.8,8.7,mature
CMWA,HY,F,Aceitillar,22-Jan-94,66,,8.9,mature
CMWA,HY,F,Aceitillar,8-Nov-93,64.5,20.6,9.3,mature
CMWA,HY,F,Aceitillar,8-Nov-93,63.5,19.8,9.2,mature
CMWA,AHY,F,Aceitillar,9-Nov-93,63,19.7,8.9,mature
CMWA,AHY,F,Aceitillar,9-Nov-93,64,20.4,9.7,mature
CMWA,AHY,F,Aceitillar,9-Nov-93,65,21.8,10.3,mature
CMWA,HY,F,Aceitillar,9-Nov-93,66.5,,9.6,mature
CMWA,HY,F,Aceitillar,11-Nov-93,63,20.1,9.1,mature
CMWA,AHY,F,Aceitillar,11-Nov-93,63.5,20.7,9.7,mature
CMWA,AHY,F,Aceitillar,1/16/1995,62.5,,8.9,mature
CMWA,AHY,F,Aceitillar,1/17/1995,64.5,,9.9,mature
CMWA,HY,F,Aceitillar,1/27/1995,66,20.8,10.1,mature
CMWA,HY,F,Aceitillar,1/28/1995,66,,8.7,mature
CMWA,HY,F,Aceitillar,1/28/1995,62.5,,9.7,mature
CMWA,HY,F,Aceitillar,1/29/1995,64.5,,9.6,mature
CMWA,HY,F,Aceitillar,1/25/1996,65.5,20.2,8.9,mature
CMWA,AHY,F,Aceitillar,31-Jan-97,64,,8.8,mature
CMWA,HY,F,Aceitillar,2-Feb-97,64.5,,10.2,mature
CMWA,HY,F,Aceitillar,12597,63,20.2,9.4,mature
CMWA,HY,F,Aceitillar,31097,61.5,20.2,9.4,mature
CMWA,AHY,M,Aceitillar,111996,68.5,19.7,10.5,mature
CMWA,AHY,M,Aceitillar,4-Mar-94,67,,9.4,mature
CMWA,AHY,M,Aceitillar,8-Mar-94,66,20.2,9.5,mature
CMWA,HY,M,Aceitillar,8-Mar-94,66,20.4,9.5,mature
CMWA,AHY,M,Aceitillar,16-Jan-94,80.5,21,9,mature
CMWA,AHY,M,Aceitillar,16-Jan-94,67,20.4,9.1,mature
CMWA,AHY,M,Aceitillar,20-Jan-94,69.5,20.1,10.5,mature
CMWA,AHY,M,Aceitillar,20-Jan-94,67,19.9,8.8,mature
CMWA,HY,M,Aceitillar,112096,67.5,20.6,10.8,mature
CMWA,AHY,M,Aceitillar,1/25/1996,67,20.2,9,mature
CMWA,HY,M,Aceitillar,112096,64,20.1,9.6,mature
CMWA,HY,M,Aceitillar,8-Nov-93,66,21,10.4,mature
CMWA,AHY,M,Aceitillar,8-Nov-93,66,20.4,9.8,mature
CMWA,HY,M,Aceitillar,8-Nov-93,65,20.9,10.4,mature
CMWA,AHY,M,Aceitillar,9-Nov-93,67,20.5,9.3,mature
CMWA,HY,M,Aceitillar,9-Nov-93,66.5,20.2,10.2,mature
CMWA,HY,M,Aceitillar,10-Nov-93,68,21,9.9,mature
CMWA,HY,M,Aceitillar,10-Nov-93,67.5,20.5,9.2,mature
CMWA,AHY,M,Aceitillar,11-Nov-93,67,20.6,10.5,mature
CMWA,AHY,M,Aceitillar,2-Mar-94,70,21,10.2,mature
CMWA,HY,M,Aceitillar,2-Mar-94,66,21,11,mature
CMWA,HY,M,Aceitillar,1/16/1995,66.5,,9.9,mature
CMWA,HY,M,Aceitillar,1/16/1995,61,,9.4,mature
CMWA,AHY,M,Aceitillar,1/24/1996,68,20.2,10.5,mature
CMWA,AHY,M,Aceitillar,1/25/1996,68,20.7,10.4,mature
CMWA,AHY,M,Aceitillar,1/25/1996,67,20.9,8.9,mature
CMWA,HY,M,Aceitillar,1/26/1996,68.5,19.8,8.6,mature
CMWA,HY,M,Aceitillar,30-Jan-97,71,,10.1,mature
CMWA,HY,M,Aceitillar,30-Jan-97,68.5,,9.8,mature
CMWA,HY,M,Aceitillar,30-Jan-97,67,,9.3,mature
CMWA,HY,M,Aceitillar,31-Jan-97,66,,9.9,mature
CMWA,HY,M,Aceitillar,1-Feb-97,65.5,,9.3,mature
CMWA,AHY,M,Aceitillar,1-Feb-97,69.5,,9.2,mature
CMWA,AHY,M,Aceitillar,1-Feb-97,67.5,,8.5,mature
CMWA,HY,M,Aceitillar,2-Feb-97,66.5,18.6,9.9,mature
CMWA,HY,M,Aceitillar,12097,70,20.2,11.2,mature
CMWA,HY,M,Aceitillar,12497,65.5,19.4,8.7,mature
CMWA,AHY,M,Aceitillar,12497,63,17.1,8.3,mature
CMWA,HY,M,Aceitillar,12597,64.5,19.3,8.9,mature
CMWA,AHY,M,Aceitillar,12597,69,20,10.1,mature
CMWA,AHY,M,Aceitillar,30697,65.5,20.4,8.9,mature
CMWA,AHY,F,Caoba,12-Jan-05,65.5,17.2,7.9,5yr
CMWA,HY,F,Caoba,8-Feb-05,62,16.6,7.7,5yr
CMWA,HY,F,Caoba,8-Jan-05,64,18.7,8.7,5yr
CMWA,HY,F,Caoba,14-Nov-04,63,17.7,8.3,5yr
CMWA,HY,F,Caoba,27-Nov-06,62.5,17.2,8.1,5yr
CMWA,HY,F,Caoba,13-Nov-04,64,19.1,9,5yr
CMWA,HY,F,Caoba,6-Jan-04,63.5,18.1,8.7,5yr
CMWA,AHY,F,Caoba,6-Jan-04,62,17.8,8.6,5yr
CMWA,HY,F,Caoba,6-Jan-04,64.5,18.6,9,5yr
CMWA,HY,F,Caoba,8-Feb-05,62.5,17.5,8.6,5yr
CMWA,AHY,F,Caoba,5-Jan-04,66,18.1,8.9,5yr
CMWA,AHY,F,Caoba,12-Nov-03,64.5,17.8,8.9,5yr
CMWA,HY,F,Caoba,17-Nov-05,62.5,18.2,9.1,5yr
CMWA,HY,F,Caoba,6-Jan-04,64.5,18.7,9.4,5yr
CMWA,AHY,F,Caoba,15-Feb-06,60.5,17.3,8.7,5yr
CMWA,HY,F,Caoba,16-Dec-05,65,18.8,9.6,5yr
CMWA,HY,F,Caoba,7-Jan-04,65,18.5,9.5,5yr
CMWA,HY,F,Caoba,11-Nov-03,63,18.1,9.3,5yr
CMWA,HY,F,Caoba,11-Nov-03,62,16.8,8.8,5yr
CMWA,HY,F,Caoba,22-Feb-04,63,18.3,9.6,5yr
CMWA,AHY,F,Caoba,11-Nov-03,65,17.2,9.2,5yr
CMWA,HY,F,Caoba,15-Dec-05,62.5,17.7,9.5,5yr
CMWA,HY,F,Caoba,14-Nov-04,66,17,9.4,5yr
CMWA,HY,F,Caoba,11-Nov-03,64.5,17.6,9.9,5yr
