# Dominican republic Mencia pasture succession and Aceitillar morphometic data,,,,,,,,
"# Original file ""Mencia body cond site pers indivs.xls"" was received from Steve Latta via meail and saved as a workding  .csv file on 2/5/2018.
",,,,,,,,
"# Original .xls file password proteted; password = ""final""  all lower case",,,,,,,,
"# This file only contains wing and mass data for ""site persistent"" individuals as scored by SL latta",,,,,,,,
"# See  file ""All Mencia B.xls"" for SL's original site persistence data (capture histories in wide formake",,,,,,,,
# Files processed by Nathan Brouwer in R for re-submission of manuscript 2/5/2018,,,,,,,,
# Note that morphometic data occurs in other spreadsheets but usually not all years are available; this also include Mencia AND Aceitillliar,,,,,,,,
spp.code,age,sex,site,date.cap.org,wing,tarsus,mass,site.age
BANA,AHY,,Cueva,18-Feb-04,52.5,15,7.6,2yr
BANA,HY,,Cueva,8-Nov-04,56,16.5,8.4,2yr
BANA,HY,,Cueva,17-Feb-07,52.5,16.3,8.3,2yr
BANA,AHY,,Cueva,11-Nov-04,50.5,15.7,8,2yr
BANA,HY,,Cueva,15-Feb-07,53,15.7,8,2yr
BANA,AHY,,Cueva,6-Jan-05,57,15.5,7.9,2yr
BANA,HY,,Cueva,12-Nov-05,51.5,15.3,7.8,2yr
BANA,AHY,,Cueva,6-Feb-05,53,15.4,7.9,2yr
BANA,HY,,Cueva,10-Nov-04,54,15.7,8.1,2yr
BANA,AHY,,Cueva,14-Nov-05,56,15.3,7.9,2yr
BANA,AHY,,Cueva,12-Feb-06,50.5,14.9,7.7,2yr
BANA,AHY,,Cueva,6-Jan-05,48,14.7,7.6,2yr
BANA,AHY,,Cueva,16-Feb-07,55.5,16.8,8.7,2yr
BANA,HY,,Cueva,18-Feb-04,54.5,16,8.3,2yr
BANA,AHY,,Cueva,14-Feb-07,50.5,14.8,7.7,2yr
BANA,HY,,Cueva,10-Nov-05,53,16.5,8.6,2yr
BANA,AHY,,Cueva,12-Feb-06,54,15.9,8.3,2yr
BANA,AHY,,Cueva,7-Feb-05,51.5,15.5,8.1,2yr
BANA,AHY,,Cueva,5-Jan-04,51.5,14.5,7.6,2yr
BANA,AHY,,Cueva,19-Feb-04,56,16.2,8.5,2yr
BANA,AHY,,Cueva,13-Jan-06,53,14.8,7.8,2yr
BANA,AHY,,Cueva,7-Feb-05,55.5,16.1,8.5,2yr
BANA,HY,,Cueva,13-Dec-05,54,15.9,8.4,2yr
BANA,AHY,,Cueva,8-Nov-03,53,15.7,8.3,2yr
BANA,HY,,Cueva,10-Nov-05,50.5,15.1,8,2yr
BANA,AHY,,Cueva,11-Nov-04,56.5,15.6,8.3,2yr
BANA,AHY,,Cueva,18-Feb-04,54,15,8,2yr
BANA,AHY,,Cueva,11-Nov-04,50.5,14.4,7.7,2yr
BANA,AHY,,Cueva,8-Jan-07,55.5,16.2,8.8,2yr
BANA,AHY,,Cueva,9-Jan-07,51.5,15,8.3,2yr
BANA,HY,,Cueva,11-Feb-06,55.5,15.1,8.6,2yr
BANA,HY,,Cueva,11-Dec-05,53.5,15.3,9,2yr
BANA,HY,,Morelia,8-Jan-04,54.5,16.2,6.9,10yr
BANA,HY,,Morelia,19-Nov-04,53,15.8,6.8,10yr
BANA,AHY,,Morelia,19-Dec-05,49.5,15,6.6,10yr
BANA,AHY,,Morelia,15-Jan-05,52.5,15.2,6.8,10yr
BANA,AHY,,Morelia,14-Feb-05,53,15.3,6.9,10yr
BANA,AHY,,Morelia,19-Nov-04,51,16.3,7.4,10yr
BANA,AHY,,Morelia,13-Jan-05,49.5,15.1,6.9,10yr
BANA,AHY,,Morelia,14-Jan-05,53,15.3,7,10yr
BANA,AHY,,Morelia,17-Nov-04,53,15.6,7.2,10yr
BANA,HY,,Morelia,14-Jan-05,51.5,15.3,7.1,10yr
BANA,HY,,Morelia,23-Feb-04,49.5,14.3,6.7,10yr
BANA,AHY,,Morelia,16-Nov-04,53,15.3,7.2,10yr
BANA,AHY,,Morelia,18-Nov-04,54.5,15.9,7.5,10yr
BANA,AHY,,Morelia,17-Jan-07,51.5,14.4,6.8,10yr
BANA,AHY,,Morelia,14-Jan-05,57.5,15.4,7.3,10yr
BANA,AHY,,Morelia,12-Jan-05,53.5,15.3,7.3,10yr
BANA,AHY,,Morelia,19-Jan-07,50.5,15.1,7.3,10yr
BANA,AHY,,Morelia,19-Jan-06,49,14.6,7.1,10yr
BANA,HY,,Morelia,22-Nov-03,53.5,15.7,7.7,10yr
BANA,AHY,,Morelia,16-Feb-05,51,15.2,7.5,10yr
BANA,HY,,Morelia,19-Dec-05,49.5,14.5,7.2,10yr
BANA,AHY,,Morelia,13-Jan-05,50.5,15.4,7.7,10yr
BANA,AHY,,Morelia,13-Jan-05,54.5,15.8,7.9,10yr
BANA,AHY,,Morelia,16-Jan-05,51,14.8,7.5,10yr
BANA,AHY,,Morelia,14-Jan-05,54.5,16.5,8.4,10yr
BANA,AHY,,Morelia,18-Nov-04,52,15.3,7.8,10yr
BANA,HY,,Morelia,12-Jan-05,54.5,16,8.2,10yr
