"spp.code","bnd","col","ag","sx","site","date.cap.orig","N.96","J.97","M.97","N.97","J.98","M.98","J.99","J.00","J.01","J.02","J.03","nts","date.cap.raw","stat.focals","spp","stat","hab1","diet","sub.site","persist"
"BANA","2110_81093","X-","AHY",NA,"Aceitillar",2001-02-03,"","","","","","","","","C","","","","2_3_2001","res","Bananaquit","R","EF","N","B1","NP"
"BANA","2_5497","X-","AHY",NA,"Aceitillar",1999-01-19,"","","","","","","C","","","","","","1_19_1999","res","Bananaquit","R","EF","N","B1","NP"
"BANA","617","X-","AHY",NA,"Aceitillar",2000-01-26,"","","","","","","","C","","","","","1_26_2000","res","Bananaquit","R","EF","N","B1","NP"
"BANA","26984","X-","AHY",NA,"Aceitillar",1999-01-17,"","","","","","","C","","","","","","1_17_1999","res","Bananaquit","R","EF","N","B1","NP"
"BANA","2110_81091","x-","AHY",NA,"Aceitillar",2001-02-02,"","","","","","","","","C","","","","2_2_2001","res","Bananaquit","R","EF","N","B1","NP"
"BANA","2110_81084","X-","AHY",NA,"Aceitillar",2001-02-02,"","","","","","","","","C","","","","2_2_2001","res","Bananaquit","R","EF","N","B2","NP"
"BANA","2_6865","X-","AHY",NA,"Aceitillar",1999-01-28,"","","","","","","C","","C","","","","1_28_1999","res","Bananaquit","R","EF","N","B2","P"
"BANA","2_6861","X-","HY",NA,"Aceitillar",1999-01-28,"","","","","","","C","","","","","","1_28_1999","res","Bananaquit","R","EF","N","B2","NP"
"BANA","609","X-","AHY",NA,"Aceitillar",2000-01-25,"","","","","","","","C","","","","","1_25_2000","res","Bananaquit","R","EF","N","B1","NP"
"BANA","611","X-","AHY",NA,"Aceitillar",2000-01-25,"","","","","","","","C","","","","","1_25_2000","res","Bananaquit","R","EF","N","B1","NP"
"BANA","2110_55414","X-","AHY",NA,"Aceitillar",2001-02-04,"","","","","","","","","C","","","","2_4_2001","res","Bananaquit","R","EF","N","B1","NP"
"BANA","629","X-","AHY",NA,"Aceitillar",2000-01-27,"","","","","","","","C","","","","","1_27_2000","res","Bananaquit","R","EF","N","B1","NP"
"BANA","26980","X-","AHY",NA,"Aceitillar",1999-01-17,"","","","","","","C","","","","","","1_17_1999","res","Bananaquit","R","EF","N","B1","NP"
"BANA","2_6997","X-","AHY",NA,"Aceitillar",1999-01-18,"","","","","","","C","","","","","","1_18_1999","res","Bananaquit","R","EF","N","B1","NP"
"BANA","2110_81087","X-","AHY",NA,"Aceitillar",2001-02-02,"","","","","","","","","C","","","","2_2_2001","res","Bananaquit","R","EF","N","B1","NP"
"BANA","2110_81079","X-","AHY",NA,"Aceitillar",2001-01-31,"","","","","","","","","C","","","","1_31_2001","res","Bananaquit","R","EF","N","B2","NP"
"BANA","2110_81092","x-","AHY",NA,"Aceitillar",2001-02-03,"","","","","","","","","C","","","","2_3_2001","res","Bananaquit","R","EF","N","B1","NP"
"BANA","619","X-","AHY",NA,"Aceitillar",2000-01-26,"","","","","","","","C","","","","","1_26_2000","res","Bananaquit","R","EF","N","B1","NP"
"BANA","620","X-","AHY",NA,"Aceitillar",2000-01-26,"","","","","","","","C","","","","","1_26_2000","res","Bananaquit","R","EF","N","B1","NP"
"BANA","623","X-","AHY",NA,"Aceitillar",2000-01-26,"","","","","","","","C","","","","","1_26_2000","res","Bananaquit","R","EF","N","B1","NP"
"BANA","624","X-","AHY",NA,"Aceitillar",2000-01-26,"","","","","","","","C","","","","","1_26_2000","res","Bananaquit","R","EF","N","B1","NP"
"BANA","622","X-","HY",NA,"Aceitillar",2000-01-26,"","","","","","","","C","","","","","1_26_2000","res","Bananaquit","R","EF","N","B1","NP"
"BANA","2_6878","X-","HY",NA,"Aceitillar",1999-01-30,"","","","","","","C","","","","","","1_30_1999","res","Bananaquit","R","EF","N","B2","NP"
"BANA","2110_55404","X-","AHY",NA,"Aceitillar",2001-02-03,"","","","","","","","","C","","","","2_3_2001","res","Bananaquit","R","EF","N","B1","NP"
"BANA","2110_55412","X-","AHY",NA,"Aceitillar",2001-02-04,"","","","","","","","","C","C","","","2_4_2001","res","Bananaquit","R","EF","N","B1","P"
"BANA","2110_55405","X-","AHY",NA,"Aceitillar",2001-02-03,"","","","","","","","","C","","","","2_3_2001","res","Bananaquit","R","EF","N","B1","NP"
"BANA","2110_81086","X-","AHY",NA,"Aceitillar",2001-02-02,"","","","","","","","","C","","","","2_2_2001","res","Bananaquit","R","EF","N","B1","NP"
"BANA","26982","X-","AHY",NA,"Aceitillar",1999-01-17,"","","","","","","C","","","","","","1_17_1999","res","Bananaquit","R","EF","N","B1","NP"
"BANA","2110_55408","X-","AHY",NA,"Aceitillar",2001-02-03,"","","","","","","","","C","C","","","2_3_2001","res","Bananaquit","R","EF","N","B1","P"
"BANA","26983","X-","AHY",NA,"Aceitillar",1999-01-17,"","","","","","","C","","","","","","1_17_1999","res","Bananaquit","R","EF","N","B1","NP"
"BANA","2110_55401","X-","AHY",NA,"Aceitillar",2001-02-03,"","","","","","","","","C","","","","2_3_2001","res","Bananaquit","R","EF","N","B1","NP"
"BANA","2_6870","X-","AHY",NA,"Aceitillar",1999-01-29,"","","","","","","C","","","","","","1_29_1999","res","Bananaquit","R","EF","N","B2","NP"
"BANA","2_6892","X-","AHY",NA,"Aceitillar",2000-01-23,"","","","","","","","C","","","","","1_23_2000","res","Bananaquit","R","EF","N","B2","NP"
"BANA","2_6873","X-","AHY",NA,"Aceitillar",1999-01-29,"","","","","","","C","","","","","","1_29_1999","res","Bananaquit","R","EF","N","B2","NP"
"BANA","26979","X-","AHY",NA,"Aceitillar",1999-01-17,"","","","","","","C","","","","","","1_17_1999","res","Bananaquit","R","EF","N","B1","NP"
"BANA","2110_55402","X-","AHY",NA,"Aceitillar",2001-02-03,"","","","","","","","","C","","","","2_3_2001","res","Bananaquit","R","EF","N","B1","NP"
"BANA","628","X-","AHY",NA,"Aceitillar",2000-01-27,"","","","","","","","C","","","","","1_27_2000","res","Bananaquit","R","EF","N","B1","NP"
"BANA","605","X-","HY",NA,"Aceitillar",2000-01-24,"","","","","","","","C","","","","","1_24_2000","res","Bananaquit","R","EF","N","B2","NP"
