# Mencia pasture succession bird captures 2005-2006 Dominican Republic,,,,,,,,,,,,,
"# Original file received from Steve Latta via email 12/2017 ""2005-06 All Captures.xls""   Files processed by Nathan Brouwer in R for re-submission of manuscript 1/15/2018",,,,,,,,,,,,,
"# See additional file ""All Mencia B.xls"" for information on site persistance ",,,,,,,,,,,,,
"# NOTE: file does not contain morphometric or condition data (pec, etc)",,,,,,,,,,,,,
"#Original comment: ""All bird captured in 2005-06 -- but all within session recaps omitted""  This information is likely in the ""All Mencia B.xls"" file that contains information on site persistance",,,,,,,,,,,,,
BAND PRE,BAND SUF,COLORS,SPECIES,AGE,SEX,SITE,DATE,WING,TARSUS,MASS,FAT,PEC,NOTES
2430,14029,WB-BX,CMWA,AHY,M,La Caoba,18-Dec-05,,,,,,x
2430,14029,WB-BX,CMWA,AHY,M,La Caoba,14-Feb-06,,,,,,x
2430,14067,YX-RR,CMWA,AHY,M,La Caoba,14-Jan-06,,,,,,x
2430,14070,WR-YX,CMWA,AHY,M,La Caoba,14-Jan-06,,,,,,x
2430,14071,WX-RR,CMWA,HY,F,La Caoba,15-Jan-06,,,,,,x
2430,14072,WX-YY,CMWA,HY,F,La Caoba,15-Jan-06,,,,,,x
2430,14074,WB-WX,CMWA,AHY,M,La Caoba,17-Jan-06,,,,,,x
2430,14074,WB-WX,CMWA,AHY,M,La Caoba,17-Feb-06,,,,,,x
2430,14075,YY-WX,CMWA,AHY,M,La Caoba,17-Jan-06,,,,,,x
2430,14075,YY-WX,CMWA,AHY,M,La Caoba,17-Feb-06,,,,,,x
2430,14076,WX-RW,CMWA,HY,F,La Caoba,18-Jan-06,,,,,,x
2430,14098,YR-BX,CMWA,AHY,M,La Caoba,14-Feb-06,,,,,,x
2430,14100,RW-WX,CMWA,AHY,M,La Caoba,15-Feb-06,,,,,,x
2430,14101,RW-BX,CMWA,ASY,M,La Caoba,15-Feb-06,,,,,,x
2430,14102,YR-WX,CMWA,AHY,F,La Caoba,15-Feb-06,,,,,,x
2430,14103,YW-WX,CMWA,AHY,F,La Caoba,15-Feb-06,,,,,,x
2430,14105,YB-WX,CMWA,AHY,F,La Caoba,16-Feb-06,,,,,,x
2430,14112,YB-BX,CMWA,HY,F,La Caoba,17-Feb-06,,,,,,x
2280,33694,XW-RR,CMWA,AHY,M,La Caoba,15-Nov-05,,,,,,x
2280,33710,YX-YB,CMWA,AHY,F,La Caoba,17-Jan-06,,,,,,x
2280,33751,XW-BR,CMWA,AHY,M,La Caoba,19-Dec-05,,,,,,x
,443,YR-XR,COYE,HY,M,La Caoba,14-Nov-05,,,,,,x
,445,WW-XW,COYE,HY,M,La Caoba,14-Nov-05,,,,,,x
,445,WW-XW,COYE,HY,M,La Caoba,14-Jan-06,,,,,,x
,454,YW-XR,COYE,HY,F,La Caoba,16-Nov-05,,,,,,x
,454,YW-XR,COYE,HY,F,La Caoba,15-Dec-05,,,,,,x
,456,XR-RW,COYE,SY,M,La Caoba,16-Nov-05,,,,,,x
,457,XR-RY,COYE,HY,M,La Caoba,16-Nov-05,,,,,,x
2430,14015,XB-YB,COYE,HY,F,La Caoba,15-Dec-05,,,,,,x
2430,14015,XB-YB,COYE,HY,F,La Caoba,16-Jan-06,,,,,,x
2430,14020,XW-WB,COYE,HY,M,La Caoba,16-Dec-05,,,,,,x
2430,14022,XR-WW,COYE,HY,F,La Caoba,17-Dec-05,,,,,,x
2430,14068,XW-WY,COYE,AHY,M,La Caoba,14-Jan-06,,,,,,x
2430,14073,RW-XR,COYE,AHY,F,La Caoba,15-Jan-06,,,,,,x
2430,14106,WR-XR,COYE,AHY,M,La Caoba,17-Feb-06,,,,,,x
2280,33260,XY-YR,COYE,SY,M,La Caoba,14-Nov-05,,,,,,x
2280,33266,RX-YY,COYE,SY,M,La Caoba,16-Dec-05,,,,,,x
2280,33275,XY-RY,COYE,SY,M,La Caoba,15-Jan-06,,,,,,x
2250,78588,WX-BW,COYE,ASY,F,La Caoba,14-Nov-05,,,,,,x
2250,78588,WX-BW,COYE,ASY,F,La Caoba,15-Dec-05,,,,,,x
2250,78588,WX-BW,COYE,ASY,F,La Caoba,14-Feb-06,,,,,,x
2250,78591,YX-BW,COYE,ASY,F,La Caoba,18-Dec-05,,,,,,x
2250,78591,YX-BW,COYE,ASY,F,La Caoba,17-Feb-06,,,,,,x
2250,78618,BX-RR,COYE,SY,M,La Caoba,19-Dec-05,,,,,,x
2250,78618,BX-RR,COYE,SY,M,La Caoba,16-Feb-06,,,,,,x
2250,78675,BX-BY,COYE,ASY,M,La Caoba,17-Dec-05,,,,,,x
2220,95903,XW-BW,COYE,AHY,F,La Caoba,15-Nov-05,,,,,,x
2220,95903,XW-BW,COYE,AHY,F,La Caoba,16-Feb-06,,,,,,x
2220,95935,XR-WY,COYE,AHY,M,La Caoba,17-Dec-05,,,,,,x
2220,95935,XR-WY,COYE,AHY,M,La Caoba,16-Jan-06,,,,,,x
2200,99698,RX-BR,COYE,AHY,F,La Caoba,14-Feb-06,,,,,,x
1791,50650,X-,GABU,AHY,F,La Caoba,16-Nov-05,,,,,,x
1791,50650,X-,GABU,AHY,F,La Caoba,16-Dec-05,,,,,,x
1791,50679,X-,GABU,SY,F,La Caoba,18-Nov-05,,,,,,x
1791,50704,X-,GABU,AHY,F,La Caoba,14-Feb-06,,,,,,x
1791,50705,X-,GABU,AHY,F,La Caoba,15-Nov-05,,,,,,x
1791,50716,X-,GABU,AHY,M,La Caoba,15-Jan-06,,,,,,x
1791,50716,X-,GABU,AHY,M,La Caoba,14-Feb-06,,,,,,x
1791,50721,X-,GABU,AHY,M,La Caoba,18-Feb-06,,,,,,x
1791,50723,X-,GABU,SY,M,La Caoba,16-Nov-05,,,,,,x
1791,50724,X-,GABU,AHY,F,La Caoba,16-Feb-06,,,,,,x
1791,50813,X-,GABU,HY,,La Caoba,16-Nov-05,,,,,,x
1791,50813,X-,GABU,HY,,La Caoba,15-Jan-06,,,,,,x
1791,50814,X-,GABU,HY,,La Caoba,16-Nov-05,,,,,,x
1791,50815,X-,GABU,HY,,La Caoba,17-Nov-05,,,,,,x
1791,50825,X-,GABU,HY,,La Caoba,15-Dec-05,,,,,,x
1791,50825,X-,GABU,HY,,La Caoba,15-Jan-06,,,,,,x
1791,50826,X-,GABU,HY,,La Caoba,16-Dec-05,,,,,,x
1791,50826,X-,GABU,HY,,La Caoba,18-Feb-06,,,,,,x
1791,50827,X-,GABU,HY,,La Caoba,16-Dec-05,,,,,,x
1791,50828,X-,GABU,AHY,M,La Caoba,16-Dec-05,,,,,,x
1791,50853,X-,GABU,HY,,La Caoba,15-Feb-06,,,,,,x
1791,50854,X-,GABU,HY,,La Caoba,16-Feb-06,,,,,,x
1791,50855,X-,GABU,HY,,La Caoba,17-Feb-06,,,,,,x
1791,50856,X-,GABU,HY,,La Caoba,17-Feb-06,,,,,,x
1791,50857,X-,GABU,HY,,La Caoba,17-Feb-06,,,,,,x
1791,50858,X-,GABU,AHY,M,La Caoba,17-Feb-06,,,,,,x
1791,50859,X-,GABU,HY,,La Caoba,17-Feb-06,,,,,,x
1791,50860,X-,GABU,HY,,La Caoba,18-Feb-06,,,,,,x
1781,50371,BX-BY,GRCA,AHY,,La Caoba,14-Nov-05,,,,,,x
1781,50386,BX-BR,GRCA,HY,,La Caoba,15-Jan-06,,,,,,x
3A,223,XY-YR,GRWA,AHY,,La Caoba,15-Nov-05,,,,,,x
3A,234,XY-BR,GRWA,AHY,,La Caoba,15-Nov-05,,,,,,x
