# Mencia pasture succession bird captures 2007-2008 Dominican Republic,,,,,,,,,,,,,
"# Original file received from Steve Latta via email 12/2017 ""2007-08 All Captures.xls""   Files processed by Nathan Brouwer in R for re-submission of manuscript 1/15/2018   See additional file ""All Mencia B.xls"" for information on site persistance ",,,,,,,,,,,,,
# NOTE: original file contains occasinal spaces between chunks of records;  appears to be by species,,,,,,,,,,,,,
"# NOTE: file does not contain morphometric or condition data (pec, etc)",,,,,,,,,,,,,
"#Original comment: ""New birds and recaps captured in 2007-08  -- but all within session recaps omitted""  This information is likely in the ""All Mencia B.xls"" file that contains information on site persistance",,,,,,,,,,,,,
BAND PRE,BAND SUF,COLORS,SPECIES,AGE,SEX,SITE,DATE,WING,TARSUS,MASS,FAT,PEC,NOTES
2430,14490,X-,CMWA,HY,F,La Caoba A,13-Jan-08,,,,,,
2430,14073,RW-XR,COYE,AHY,F,La Caoba A,14-Nov-07,,,,,,
2430,14266,XY-YW,COYE,AHY,F,La Caoba,11-Nov-07,,,,,,
2430,14268,BY-XR,COYE,AHY,M,La Caoba A,14-Nov-07,,,,,,
2430,14403,X-,COYE,HY,M,La Caoba,12-Nov-07,,,,,,
2430,14421,X-,COYE,HY,M,La Caoba A,14-Nov-07,,,,,,
2430,14429,X-,COYE,HY,F,La Caoba A,15-Nov-07,,,,,,
2430,14430,X-,COYE,HY,U,La Caoba A,15-Nov-07,,,,,,
2430,14476,X-,COYE,HY,F,La Caoba,11-Jan-08,,,,,,
1761,5617,X-,GABU,HY,F,La Caoba,12-Nov-07,,,,,,
1761,5618,X-,GABU,HY,U,La Caoba,13-Nov-07,,,,,,
1761,5619,X-,GABU,HY,F,La Caoba A,14-Nov-07,,,,,,
1761,5620,X-,GABU,AHY,F,La Caoba A,14-Nov-07,,,,,,
1761,5621,X-,GABU,AHY,M,La Caoba A,14-Nov-07,,,,,,
1761,5622,X-,GABU,HY,U,La Caoba A,14-Nov-07,,,,,,
1761,5623,X-,GABU,HY,F,La Caoba A,14-Nov-07,,,,,,
1761,5624,X-,GABU,HY,F,La Caoba A,15-Nov-07,,,,,,
1761,5635,X-,GABU,HY,F,La Caoba A,11-Jan-08,,,,,,
1761,5636,X-,GABU,HY,M,La Caoba A,13-Jan-08,,,,,,
1791,50811,X-,GABU,AHY,M,La Caoba A,12-Jan-08,,,,,,
1791,50815,X-,GABU,AHY,F,La Caoba,11-Nov-07,,,,,,
1791,50854,X-,GABU,AHY,F,La Caoba,10-Jan-08,,,,,,
1791,50856,X-,GABU,AHY,F,La Caoba A,14-Nov-07,,,,,,
3A,220,XR-RW,GRWA,AHY,,La Caoba,10-Jan-08,,,,,,
3A,223,XY-YR,GRWA,AHY,,La Caoba,9-Jan-08,,,,,,
3A,236,BY-RX,GRWA,AHY,,La Caoba A,13-Jan-08,,,,,,
3A,277,XR-YB,GRWA,AHY,,La Caoba A,15-Nov-07,,,,,,
3A,298,WX-BR,GRWA,AHY,,La Caoba A,14-Nov-07,,,,,,
3A,311,X-,GRWA,HY,,La Caoba A,13-Nov-07,,,,,,
3A,312,X-,GRWA,AHY,,La Caoba A,13-Jan-08,,,,,,
3A,313,X-,GRWA,AHY,,La Caoba,10-Jan-08,,,,,,
3A,314,X-,GRWA,AHY,,La Caoba,12-Nov-07,,,,,,
3A,318,X-,GRWA,HY,,La Caoba A,11-Jan-08,,,,,,
4A,433,X-,HISP,HY,,La Caoba,12-Nov-07,,,,,,
4A,434,X-,HISP,HY,,La Caoba,12-Nov-07,,,,,,
4A,436,X-,HISP,HY,,La Caoba A,13-Nov-07,,,,,,
4A,437,X-,HISP,HY,F,La Caoba A,13-Nov-07,,,,,,
4A,438,X-,HISP,HY,,La Caoba A,13-Nov-07,,,,,,
4A,442,X-,HISP,HY,,La Caoba A,15-Nov-07,,,,,,
8A,57,X-,HLCU,AHY,,La Caoba,10-Jan-08,,,,,,
8A,76,X-,HLCU,AHY,,La Caoba A,12-Jan-08,,,,,,
1202,29757,X-,MACU,AHY,,La Caoba A,14-Nov-07,,,,,,
1202,29759,X-,MACU,AHY,,La Caoba A,15-Nov-07,,,,,,
1771,12098,RX-RR,OVEN,AHY,,La Caoba,12-Nov-07,,,,,,
1771,12171,XR-RW,OVEN,AHY,,La Caoba A,14-Nov-07,,,,,,
1771,12269,RR-XW,OVEN,AHY,,La Caoba,13-Nov-07,,,,,,
1771,12305,RX-YW,OVEN,AHY,,La Caoba,11-Jan-08,,,,,,
1771,12308,BX-WR,OVEN,AHY,,La Caoba A,13-Jan-08,,,,,,
