# Mencia pasture succession bird captures 2004-2005 Dominican Republic,,,,,,,,,,,,,
"# Original file received from Steve Latta via email 12/2017 ""2004-05 All Captures.xls""",,,,,,,,,,,,,
"# See additional file ""All Mencia B.xls"" for information on site persistance ",,,,,,,,,,,,,
# Files processed by Nathan Brouwer in R for re-submission of manuscript 1/15/2018,,,,,,,,,,,,,
"#""NOTES"" columns contains ""DIED"" ""MITES"" and also numbers; not sure what numbers are",,,,,,,,,,,,,
BAND PRE,BAND SUF,COLORS,SPECIES,AGE,SEX,SITE,DATE,WING,TARSUS,MASS,FAT,PEC,NOTES
2240,21818,RR-XR,MAWA,HY,,El Corral A,23-Nov-04,57,15.9,7.3,0,0,
2240,21818,RR-XR,MAWA,HY,,El Corral A,20-Jan-05,57,16.2,6.7,1,1,
2240,21867,XR-RY,MAWA,HY,,El Corral,18-Feb-05,57.5,17.3,7.2,0,0,
2240,21868,XR-BY,MAWA,HY,,El Corral A,19-Feb-05,56,17.7,6.8,0,0,
1781,50340,X-,NOMO,AHY,,El Corral A,23-Nov-04,104,31.5,43.6,,,
1781,50350,X-,NOMO,AHY,,El Corral A,19-Jan-05,102,31.2,39.9,,,
1781,50351,X-,NOMO,AHY,,El Corral A,20-Jan-05,94,30,35.2,,,
1781,50352,X-,NOMO,AHY,,El Corral A,20-Jan-05,101,30.7,39.9,,,
1781,50367,X-,NOMO,AHY,,El Corral,17-Feb-05,103.5,32.1,39.7,,,
1781,50368,X-,NOMO,HY,,El Corral,17-Feb-05,94.5,28.9,38,,,
1781,50369,X-,NOMO,AHY,,El Corral,18-Feb-05,99,30,37.8,,,
1771,12112,XW-WB,OVEN,AHY,,El Corral,20-Nov-04,75,21.7,20.6,1,0,
1771,12206,WX-WW,OVEN,HY,,El Corral,21-Nov-04,75.2,21.8,18.7,0,0,
1771,12207,BX-YY,OVEN,HY,,El Corral,21-Nov-04,72.5,22.5,18,1,2,
1771,12208,XW-YR,OVEN,AHY,,El Corral,21-Nov-04,72.5,22.1,18.2,1,2,
1771,12209,XB-BY,OVEN,AHY,,El Corral,21-Nov-04,75,22.9,19.4,1,2,
1771,12210,RX-BW,OVEN,HY,,El Corral,22-Nov-04,73,21.7,19,0,1,
1771,12211,XR-BR,OVEN,AHY,,El Corral A,22-Nov-04,77,21.9,19.1,2,2,
1771,12211,XR-BR,OVEN,AHY,,El Corral A,19-Feb-05,77,22.1,18.9,3,2,
1771,12212,XB-WR,OVEN,AHY,,El Corral A,22-Nov-04,73.5,21.7,18.5,3,1,
1771,12212,XB-WR,OVEN,AHY,,El Corral A,19-Jan-05,73.5,21.7,18.7,2,1,
1771,12212,XB-WR,OVEN,AHY,,El Corral A,19-Feb-05,73.5,22,18.5,2,1,
1771,12213,XW-WR,OVEN,AHY,,El Corral A,22-Nov-04,75,21.7,19.8,3,2,
1771,12213,XW-WR,OVEN,AHY,,El Corral A,19-Jan-05,75.5,21.7,17.5,1,1,
1771,12214,WY-WX,OVEN,AHY,,El Corral A,23-Nov-04,72.5,22.3,17.3,1,0,
1771,12215,YW-WX,OVEN,AHY,,El Corral A,23-Nov-04,79.5,21.9,19.9,1,3,
1771,12215,YW-WX,OVEN,AHY,,El Corral,16-Feb-05,79.5,22,19.8,2,2,
1771,12215,YW-WX,OVEN,AHY,,El Corral A,20-Jan-05,79,22,19.1,1,2,
1771,12216,WY-YX,OVEN,HY,,El Corral A,23-Nov-04,72.5,23.2,18.2,1,1,
1771,12216,WY-YX,OVEN,HY,,El Corral A,19-Jan-05,72.5,23.2,18.2,1,1,
1771,12216,WY-YX,OVEN,HY,,El Corral A,19-Feb-05,72.5,23.2,17.5,1,1,
1771,12217,WX-RW,OVEN,HY,,El Corral A,23-Nov-04,73.5,22.2,18.1,0,2,
1771,12217,WX-RW,OVEN,HY,,El Corral,18-Jan-05,73.5,22.3,18,1,2,
1771,12218,RW-YX,OVEN,HY,,El Corral A,23-Nov-04,77,22.4,17.6,0,0,
1771,12219,WY-BX,OVEN,AHY,,El Corral A,24-Nov-04,74,22.7,19.1,0,2,
1771,12239,XW-RB,OVEN,AHY,,El Corral,18-Jan-05,74,22.7,19.7,1,1,
1771,12239,XW-RB,OVEN,AHY,,El Corral A,19-Feb-05,74,22.7,18,2,0,
1771,12240,BY-XY,OVEN,HY,,El Corral,18-Jan-05,71,20.8,17,2,1,
1771,12241,WW-XR,OVEN,HY,,El Corral,19-Jan-05,75.5,22.4,17.9,0,1,
1771,12242,WX-BW,OVEN,AHY,,El Corral A,20-Jan-05,74.5,21.5,18.7,0,2,
1771,12243,WX-YY,OVEN,HY,,El Corral A,21-Jan-05,71.5,21.7,18.2,1,1,
1771,12258,XB-YW,OVEN,AHY,,El Corral,16-Feb-05,74,20.3,19.3,1,2,
1771,12259,WB-XY,OVEN,AHY,,El Corral A,19-Feb-05,72,22.1,16.8,1,1,
1771,12260,WY-XY,OVEN,HY,,El Corral A,20-Feb-05,72.5,21.1,16.5,1,0,
1202,29622,X-,RLTH,AHY,,El Corral A,24-Nov-04,114.5,30.9,57.9,,,
1202,29623,X-,RLTH,AHY,,El Corral A,24-Nov-04,115.5,37.9,64.3,,,
1202,29624,X-,RLTH,AHY,,El Corral A,24-Nov-04,124,38,68.5,,,
1202,29660,X-,RLTH,AHY,,El Corral,17-Jan-05,123.5,38.9,70.6,,,
1202,29660,X-,RLTH,AHY,,El Corral,17-Feb-05,123,38.9,67.6,,,
1202,29661,X-,RLTH,AHY,,El Corral A,19-Jan-05,122,37.6,64,,,
1202,29662,X-,RLTH,AHY,,El Corral A,21-Jan-05,119,40.3,70.4,,,
1202,29688,X-,RLTH,HY,,El Corral A,18-Feb-05,120,34.3,64,,,
1202,29689,X-,RLTH,HY,,El Corral A,19-Feb-05,121.5,39.7,66.2,,,
1202,29691,X-,RLTH,HY,,El Corral A,19-Feb-05,122,39.1,67.4,,,
6A,13,X-,SSHA,AHY,,El Corral A,20-Jan-05,175,50.7,128.4,,,
1791,50771,XR-WB,STOF,,,El Corral,17-Jan-05,81.5,21.3,19.4,,,
1791,50772,XR-WY,STOF,,,El Corral,17-Jan-05,82.5,21.3,19.4,,,
1791,50773,XY-BY,STOF,,,El Corral,17-Jan-05,75,19.6,17.6,,,
1791,50773,XY-BY,STOF,,,El Corral,19-Jan-05,,,,,,
1791,50776,XR-WR,STOF,,,El Corral A,21-Jan-05,85.5,20.4,18.5,,,
1791,50799,XR-YY,STOF,,,El Corral,17-Feb-05,82.5,20.5,20.3,,,
1791,50802,XB-BY,STOF,,,El Corral,18-Feb-05,81.5,21.3,20.4,,,
1791,50803,XY-WB,STOF,,,El Corral A,19-Feb-05,81.5,21.3,19.5,,,
,405,X-,YFGR,HY,M,El Corral,16-Feb-05,50,16,8.9,,,
,407,X-,YFGR,HY,M,El Corral,17-Feb-05,51.5,16.6,9.5,,,
,410,X-,YFGR,AHY,F,El Corral A,18-Feb-05,48,16,8.7,,,
,410,X-,YFGR,AHY,F,El Corral A,20-Feb-05,,,,,,
,411,X-,YFGR,AHY,F,El Corral A,18-Feb-05,47.5,15.5,7.5,,,
,415,X-,YFGR,HY,F,El Corral A,20-Feb-05,47,15.3,8.5,,,
2250,78451,X-,YFGR,HY,M,El Corral,21-Nov-04,51,15.7,9.4,,,
2250,78452,X-,YFGR,HY,M,El Corral,21-Nov-04,52,16,9.5,,,
2250,78454,X-,YFGR,HY,M,El Corral A,23-Nov-04,49,15.4,6.9,,,
2250,78455,X-,YFGR,AHY,M,El Corral A,23-Nov-04,50,16,9,,,
2250,78455,X-,YFGR,AHY,M,El Corral A,19-Jan-05,50,16,8.1,,,
2250,78456,X-,YFGR,HY,F,El Corral A,23-Nov-04,47,15.5,8.1,,,
2250,78460,X-,YFGR,AHY,F,El Corral A,23-Nov-04,47.5,16.1,8,,,
2250,78464,X-,YFGR,AHY,F,El Corral A,23-Nov-04,48,15.2,9.9,,,
2250,78465,X-,YFGR,AHY,M,El Corral A,23-Nov-04,50.5,15.8,9.5,,,
2250,78467,X-,YFGR,AHY,M,El Corral A,23-Nov-04,52,16.8,10.3,,,
2250,78468,X-,YFGR,HY,,El Corral A,24-Nov-04,48,15.8,8,,,
2250,78469,X-,YFGR,AHY,F,El Corral A,24-Nov-04,49,16.6,8.4,,,
2220,95983,X-,YFGR,AHY,M,El Corral A,19-Jan-05,50,15.8,8.6,,,
2220,95985,X-,YFGR,HY,M,El Corral A,19-Jan-05,50.5,17,8.6,,,
2220,95987,X-,YFGR,AHY,M,El Corral A,19-Jan-05,50,15.2,8.3,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2240,21513,BY-XW,AMRE,SY,F,La Caoba A,12-Jan-05,,,,,,
2240,21522,WX-YB,AMRE,SY,F,La Caoba,13-Nov-04,61,16.9,6.8,0,0,
2240,21536,BW-XY,AMRE,AHY,F,La Caoba A,10-Jan-05,59,16.7,6.2,0,0,
2240,21536,BW-XY,AMRE,AHY,F,La Caoba A,11-Feb-05,59.5,16.8,6.4,0,0,
2240,21573,YX-YY,AMRE,HY,,La Caoba,13-Nov-04,,,,,,
2240,21589,RX-BY,AMRE,HY,F,La Caoba,9-Jan-05,60,16.6,6.1,0,0,
2240,21589,RX-BY,AMRE,HY,F,La Caoba A,14-Nov-04,,,,,,
2240,21591,YX-BW,AMRE,HY,,La Caoba,12-Nov-04,59.5,17.3,7.3,1,0,
2240,21591,YX-BW,AMRE,HY,,La Caoba,8-Jan-05,58.5,17.5,7.2,1,1,
2240,21593,WY-WX,AMRE,HY,M,La Caoba,12-Nov-04,60.5,17,7.2,1,0,
2240,21597,XR-RB,AMRE,HY,,La Caoba A,14-Nov-04,60,17.2,7.2,0,1,
2240,21598,XR-YB,AMRE,HY,M,La Caoba A,14-Nov-04,61,17.9,6.7,0,0,
2240,21599,XR-BY,AMRE,HY,F,La Caoba A,14-Nov-04,59.5,17.3,6.8,0,0,
2240,21599,XR-BY,AMRE,HY,F,La Caoba A,11-Jan-05,59.5,17.3,6.6,0,0,
2240,21801,XR-BW,AMRE,HY,F,La Caoba A,15-Nov-04,58,17.6,7.4,0,0,
2240,21830,XY-WW,AMRE,HY,M,La Caoba,8-Jan-05,61,16.8,6.5,0,0,
2240,21831,RX-BW,AMRE,HY,,La Caoba,8-Jan-05,58,16,5.9,0,0,
2240,21832,XB-BW,AMRE,HY,F,La Caoba,9-Jan-05,56,16.4,6.5,0,0,
2240,21849,RR-XW,AMRE,HY,M,La Caoba,8-Feb-05,,,,,,
2240,21856,XY-WY,AMRE,AHY,M,La Caoba A,11-Feb-05,62.5,17.3,7,0,0,
2370,3819,X-,BANA,HY,,La Caoba,8-Feb-05,,,,,,
2370,3841,X-,BANA,AHY,,La Caoba,8-Feb-05,55,16.5,9.3,,,
2370,3841,X-,BANA,AHY,,La Caoba,10-Feb-05,,,,,,
2370,3841,X-,BANA,AHY,,La Caoba A,10-Feb-05,,,,,,
2370,3853,X-,BANA,HY,,La Caoba,9-Feb-05,54.5,15.2,7.5,,,
2370,3856,X-,BANA,AHY,,La Caoba,9-Feb-05,49,15.5,6.8,,,
2370,3882,X-,BANA,AHY,,La Caoba A,12-Feb-05,50.5,14.9,7,,,
2280,33680,X-,BANA,HY,,La Caoba,12-Nov-04,51.5,15.8,8,,,
2280,33682,X-,BANA,AHY,,La Caoba,12-Nov-04,52,15.2,7.9,,,
2280,33685,X-,BANA,HY,,La Caoba,12-Nov-04,52.5,15.8,7.1,,,
2280,33696,X-,BANA,HY,,La Caoba,13-Nov-04,53,15.3,7,,,
2280,33698,X-,BANA,AHY,,La Caoba,13-Nov-04,50.5,15.6,6.8,,,
2280,33700,X-,BANA,HY,,La Caoba,13-Nov-04,50,15.3,6.8,,,
2280,33700,X-,BANA,AHY,,La Caoba,9-Feb-05,50,15.3,7.1,,,
2280,33703,X-,BANA,HY,,La Caoba,13-Nov-04,50.5,15.2,6.2,,,
