"spp.code","site","band.pre","band.suf","colors","age","sex","date","wing","tarsus","mass","fat","pec","notes","year","year.num","beak","date2","site.age.init","site.age","band","status.focals","spp","status2","hab1","diet"
"AMRE","La Caoba","2240","21988","X-","AHY","M","14-Nov-07",NA,NA,NA,NA,NA,NA,"2007-2008",2007,NA,2007-11-14,5,9,"2240-21988","mig","American Redstart","M","EF","I"
"AMRE","La Caoba","2240","21941","RR-BX","AHY","F","28-Nov-06",NA,NA,NA,NA,NA,"x","2006-2007",2006,NA,2006-11-28,5,8,"2240-21941","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21883","WW-XW","HY","F","12-Nov-05",NA,NA,NA,NA,NA,"x","2005-2006",2005,NA,2005-11-12,2,4,"2240-21883","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21947","WB-XR","HY",NA,"8-Jan-07",NA,NA,NA,NA,NA,"x","2006-2007",2006,NA,2007-01-08,2,5,"2240-21947","mig","American Redstart","M","EF","I"
"AMRE","Morelia","2240","21989","X-","AHY","F","17-Nov-07",NA,NA,NA,NA,NA,NA,"2007-2008",2007,NA,2007-11-17,10,14,"2240-21989","mig","American Redstart","M","EF","I"
"AMRE","La Caoba","2240","21513","BY-XW","AHY","F","10-Nov-03",59.5,17.8,7.9,"3",2,NA,"2003-2004",2003,NA,2003-11-10,5,5,"2240-21513","mig","American Redstart","M","EF","I"
"AMRE","La Caoba","2240","21536","BW-XY","AHY","F","10-Jan-05",59,16.7,6.2,"0",0,NA,"2004-2005",2004,NA,2005-01-10,5,6,"2240-21536","mig","American Redstart","M","EF","I"
"AMRE","Morelia","2240","21532","WX-BR","HY","F","9-Jan-04",60.5,16.4,6.8,"0",0,NA,"2003-2004",2003,NA,2004-01-09,10,10,"2240-21532","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21975","X-","HY","M","7-Nov-07",NA,NA,NA,NA,NA,NA,"2007-2008",2007,NA,2007-11-07,2,6,"2240-21975","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21508","X-Y","AHY","F","10-Nov-03",56.5,17.4,6.4,"0",0,NA,"2003-2004",2003,NA,2003-11-10,2,2,"2240-21508","mig","American Redstart","M","EF","I"
"AMRE","El Corral","2240","21841","RY-XR","AHY","F","19-Jan-05",NA,NA,NA,NA,NA,NA,"2004-2005",2004,NA,2005-01-19,20,21,"2240-21841","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21822","RR-XR","HY",NA,"5-Jan-05",58,16.9,6.9,"0",0,NA,"2004-2005",2004,NA,2005-01-05,2,3,"2240-21822","mig","American Redstart","M","EF","I"
"AMRE","La Caoba","2240","21527","BR-WX","AHY","F","12-Nov-03",58.5,16.8,7.1,"0",2,NA,"2003-2004",2003,NA,2003-11-12,5,5,"2240-21527","mig","American Redstart","M","EF","I"
"AMRE","Morelia","2240","21811","BX-BY","HY",NA,"19-Nov-04",57,17.1,7.5,"0",0,NA,"2004-2005",2004,NA,2004-11-19,10,11,"2240-21811","mig","American Redstart","M","EF","I"
"AMRE","Morelia","2240","21598","XR-YB","HY","M","13-Feb-05",61,17.9,6.9,"1",0,NA,"2004-2005",2004,NA,2005-02-13,10,11,"2240-21598","mig","American Redstart","M","EF","I"
"AMRE","Morelia","2240","21840","XB-BY","HY","M","14-Jan-05",63.5,17.1,6.7,"0",0,NA,"2004-2005",2004,NA,2005-01-14,10,11,"2240-21840","mig","American Redstart","M","EF","I"
"AMRE","La Caoba","2240","21951","YB-XY","HY","F","14-Jan-07",NA,NA,NA,NA,NA,"x","2006-2007",2006,NA,2007-01-14,5,8,"2240-21951","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21849","RR-XW","HY","M","5-Feb-05",60,16.5,7,"0",0,NA,"2004-2005",2004,NA,2005-02-05,2,3,"2240-21849","mig","American Redstart","M","EF","I"
"AMRE","La Caoba","2240","21936","YR-XY","HY","F","25-Nov-06",NA,NA,NA,NA,NA,"x","2006-2007",2006,NA,2006-11-25,5,8,"2240-21936","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21550","XW-WW","AHY","F","18-Feb-04",63,17.5,8,"0",0,NA,"2003-2004",2003,NA,2004-02-18,2,2,"2240-21550","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21847","XY-WB","HY",NA,"4-Feb-05",57.5,16.1,7,"0",0,NA,"2004-2005",2004,NA,2005-02-04,2,3,"2240-21847","mig","American Redstart","M","EF","I"
"AMRE","La Caoba","2240","21542","XR-WX","HY","F","5-Jan-04",NA,NA,NA,NA,NA,NA,"2003-2004",2003,NA,2004-01-05,5,5,"2240-21542","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21976","X-","HY","M","7-Nov-07",NA,NA,NA,NA,NA,NA,"2007-2008",2007,NA,2007-11-07,2,6,"2240-21976","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21572","WW-XY","HY","F","3-Feb-05",61,16.8,6.6,"0",1,NA,"2004-2005",2004,NA,2005-02-03,2,3,"2240-21572","mig","American Redstart","M","EF","I"
"AMRE","La Caoba","2240","21930","BX-BR","AHY","F","20-Feb-07",NA,NA,NA,NA,NA,"x","2006-2007",2006,NA,2007-02-20,5,8,"2240-21930","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21949","YW-XY","AHY","F","10-Jan-07",NA,NA,NA,NA,NA,"x","2006-2007",2006,NA,2007-01-10,2,5,"2240-21949","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21569","YY-XY","HY","F","9-Nov-04",59.5,16.8,7.1,"0",1,NA,"2004-2005",2004,NA,2004-11-09,2,3,"2240-21569","mig","American Redstart","M","EF","I"
"AMRE","Morelia","2240","21563","XY-RY","AHY","F","24-Feb-04",60,16.1,7,"0",0,NA,"2003-2004",2003,NA,2004-02-24,10,10,"2240-21563","mig","American Redstart","M","EF","I"
"AMRE","La Caoba","2240","21885","BR-XW","AHY","F","14-Nov-05",NA,NA,NA,NA,NA,"x","2005-2006",2005,NA,2005-11-14,5,7,"2240-21885","mig","American Redstart","M","EF","I"
