"spp.code","band","colors","age","sex","site","date.cap.orig","nov.96","jan.97","mar.97","nov.97","jan.98","mar.98","jan.99","jan.00","jan.01","jan.02","jan.03","comments","data.cap.orig2","status.focals","spp","status2","hab1","diet","sub.site"
"AMRE","2390-24337","XY-YR","HY","F","Aceitillar","6-Mar-93","","","C","","","","","","","","","W",1993-03-06,"mig","American Redstart","M","EF","I","B2"
"AMRE","2110-81032","XW-GW","HY","M","Aceitillar","28-Jan-95","","","","","","","C","","","","","W",1995-01-28,"mig","American Redstart","M","EF","I","B2"
"AMRE","2110-81078","X-","AHY","F","Aceitillar","30-Jan-97","","","","","","","","","C","","","W",1997-01-30,"mig","American Redstart","M","EF","I","B2"
"AMRE","2390-24063","YY-BX","AHY","F","Aceitillar","25-Jan-93","","C","","","","","","","","","","W",1993-01-25,"mig","American Redstart","M","EF","I","B1"
"AMRE","2390-24321","XP-BR","HY","M","Aceitillar","4-Mar-93","","","CS","","","","","","","","","",1993-03-04,"mig","American Redstart","M","EF","I","B2"
"AMRE","1950-82024","BB-BX","HY","M","Aceitillar","19-Nov-92","C","","","","","","","","","","","W",1992-11-19,"mig","American Redstart","M","EF","I","B1"
"ANPI","Apr-97","X-",NA,"F","Aceitillar","25-Jan-96","","","","","","","","C","","","","",1996-01-25,NA,"Antillean Piculet","R","DF","I","B1"
"ANPI","Apr-34","x-",NA,"F","Aceitillar","1-Feb-97","","","","","","","","","C","","","",1997-02-01,NA,"Antillean Piculet","R","DF","I","B1"
"ANPI","Apr-76","X-",NA,"M","Aceitillar","28-Jan-95","","","","","","","C","","","","","",1995-01-28,NA,"Antillean Piculet","R","DF","I","B2"
"ANPI","Apr-85","X-",NA,"M","Aceitillar","23-Jan-96","","","","","","","","C","","","","",1996-01-23,NA,"Antillean Piculet","R","DF","I","B2"
"BANA","Feb-62","X-","AHY",NA,"Aceitillar","27-Jan-95","","","","","","","C","","","","","",1995-01-27,"res","Bananaquit","R","EF","N","B2"
"BANA","Feb-69","X-","HY",NA,"Aceitillar","28-Jan-95","","","","","","","C","","","","","",1995-01-28,"res","Bananaquit","R","EF","N","B2"
