# Aceitillar data for Mencia pasture succesion manuscript,,,,,,,,,,,,,,,,,,
"# Original file ""Aceitillar 96_02 for Mencia.xls"" from SL via email",,,,,,,,,,,,,,,,,,
"# Original file had 3 worksheets: ""Returned migr"", ""Site persistent migr"" and ""All caps""",,,,,,,,,,,,,,,,,,
#,"Note: original worksheets with ""_migr"" included residents and migrants",,,,,,,,,,,,,,,,,
"# ""Site persistent birds are there for some portion of at least 1 winter – so they were resighted or recaptured at least once.""",,,,,,,,,,,,,,,,,,
"# ""Returned birds are a **subset** of the **site persistent birds** that returned a **subsequent** year.",,,,,,,,,,,,,,,,,,
# All caps is all captures.,,,,,,,,,,,,,,,,,,
"# C = captured (including orig capture); S = re_sighted, CS = captured & resighted in same session; W in comments = NEVER resighted/recaptured after original capture",,,,,,,,,,,,,,,,,,
# W = wanderers,,,,,,,,,,,,,,,,,,
#,,,,,,,Nov,Jan,Mar,Nov,Jan,Mar,Jan,Jan,Jan,Jan,Jan,
#,,,,,,CAP,96,97,97,97,98,98,99,0,1,2,3,
BAND,COLORS,SPECIES,AGE,SEX,SITE,DATA.CAP.ORIG,Nov.96,Jan.97,Mar.97,Nov.97,Jan.98,Mar.98,Jan.99,Jan.00,Jan.01,Jan.02,Jan.03,COMMENTS
1950_82038,RB-XB,BAWW,AHY,F,B1,11_20_1996,CC,C,C,S,,,,,,,,
1950_82033,XR-RY,BAWW,AHY,M,B1,11_20_1996,C,CS,CS,S,C,S,,,,,,
1950_82048,XR-PY,BAWW,AHY,M,B1,11_21_1996,C,,,,,S,,,,,,
2390_24044,RX-RP,BAWW,AHY,F,B1,1_24_1997,,C,,,,,,,,,,W
2390_24333,XP-YY,BAWW,AHY,F,B2,3_6_1997,,,C,,,,,,,,,W
2390_24335,BR-XB,BAWW,AHY,F,B2,3_6_1997,,,C,S,,,,,,,,
2390_24342,YR-XY,BAWW,AHY,F,B1,3_10_1997,,,C,,,,,,,,,W
2390_24338,RX-PP,BAWW,AHY,M,B1,3_10_1997,,,CS,,,,S,,,,,
2390_24347,BY-XB,BAWW,AHY,M,B1,3_11_1997,,,C,,,,,,,,,W
2390_24349,XB-RB,BAWW,AHY,F,B1,3_12_1997,,,C,,,,,,,,,W
2390_24350,PR-XB,BAWW,AHY,M,B1,3_12_1997,,,C,,,,,,,,,W
1950_82567,GX-YA,BAWW,AHY,F,B2,11_10_1997,,,,C,CS,,,,,,,
1950_82574,AY-RX,BAWW,AHY,F,B1,11_11_1997,,,,C,,C,,,,,,
1950_82573,RX-AA,BAWW,AHY,M,B1,11_11_1997,,,,C,,C,,,,,,
1760_22659,RX-RG,BAWW,AHY,F,B2,1_16_1998,,,,,CS,S,,,,,,
1760_22664,AG-XY,BAWW,AHY,F,B2,1_17_1998,,,,,C,S,,,,,,
1760_22669,YG-XY,BAWW,AHY,F,B2,1_18_1998,,,,,C,,,,,,,W
1760_22676,GR-XG,BAWW,AHY,F,B1,1_22_1998,,,,,C,,,,,,,W
1950_82800,GX-YR,BAWW,AHY,F,B1,3_3_1998,,,,,,CS,,,,,,
2200_16434,X-,BAWW,AHY,F,B2,2_1_2001,,,,,,,,,C,,,W
2200_16431,X-,BAWW,AHY,M,B2,2_1_2001,,,,,,,,,C,,,W
2200_16445,X-,BAWW,AHY,F,B1,2_3_2001,,,,,,,,,C,,,W
2200_16444,X-,BAWW,AHY,M,B1,2_3_2001,,,,,,,,,C,C,,
386,XB-RR,BAWW,HY,F,B2,11_15_1996,C,,S,,,S,,,,,,
400,YR-XR,BAWW,HY,F,B1,11_19_1996,C,,,,,,,,,,,W
1950_82044,XP-BB,BAWW,HY,F,B1,11_20_1996,C,,,C,C,,,,,,,
1950_82040,XR-PP,BAWW,HY,M,B1,11_20_1996,C,,,,,,,,,,,W
2390_24035,XB-BR,BAWW,HY,M,B2,1_20_1997,,C,CS,,S,,,,,,,
2390_24051,XP-YP,BAWW,HY,M,B1,1_25_1997,,C,,S,S,S,,,,,,
2390_24058,XY-YB,BAWW,HY,M,B1,1_25_1997,,CS,,,C,,S,,,,,
2390_24061,XB-YB,BAWW,HY,M,B1,1_25_1997,,C,,C,CS,S,,,,,,
2390_24062,RX-BB,BAWW,HY,M,B1,1_26_1997,,C,,,,,,,,,,W
2390_24331,XP-RB,BAWW,HY,F,B2,3_6_1997,,,C,,,,,,,,,W
2390_24346,RX-YY,BAWW,HY,F,B1,3_11_1997,,,CC,S,CS,CS,,,,,,
1950_82562,XY-RA,BAWW,HY,M,B2,11_10_1997,,,,C,,,,,,,,W
1950_82563,GR-GX,BAWW,HY,M,B2,11_10_1997,,,,C,,S,,,,,,
1950_82575,XA-RR,BAWW,HY,F,B1,11_12_1997,,,,C,,S,,,,,,res. In P2
1760_22661,YY-GX,BAWW,HY,F,B2,1_17_1998,,,,,C,,,,,,,W
1760_22679,RG-XY,BAWW,HY,F,B1,1_22_1998,,,,,C,,,,,,,W
1760_22680,XY-GG,BAWW,HY,F,B1,1_22_1998,,,,,C,,,,,,,W
1760_22682,XY-YA,BAWW,HY,F,B1,1_23_1998,,,,,CS,,,,,,,
1950_82798,RY-XA,BAWW,HY,M,B1,3_4_1998,,,,,,C,,,,,,W
1760_22546,XG-RA,BAWW,HY,M,B2,3_9_1998,,,,,,C,,,,,,W
2140_20628,RX-YW,BAWW,HY,M,B2,1_28_1999,,,,,,,C,,,,,W
2140_20704,X-,BAWW,HY,M,B2,1_25_2000,,,,,,,,C,,,,W
2140_20708,X-,BAWW,HY,M,B1,1_26_2000,,,,,,,,C,,,,W
2140_20710,X-,BAWW,HY,M,B1,1_26_2000,,,,,,,,C,,,,W
2200_16433,X-,BAWW,HY,F,B2,2_1_2001,,,,,,,,,C,,,W
4_3916,XY-BR,BCPT,AHY,,B2,11_14_1996,C,,,,,,,,,,,
4_3923,R-X,BCPT,AHY,,B1,11_20_1996,C,C,,,,,,,,,,
4_3926,X-B/W,BCPT,AHY,,B1,11_20_1996,C,,,,,,,,,,,
4_3928,XY-PY,BCPT,AHY,,B1,11_20_1996,C,,C,,,,,,,,,
4_3051,BX-RR,BCPT,AHY,,B2,1_20_1997,,C,S,S,,,,,,,,
4_3055,XR-PR,BCPT,AHY,,B1,1_24_1997,,CS,S,C,S,,,,,,,
4_3056,XR-YP,BCPT,AHY,,B1,1_25_1997,,C,,,,,,,,,,
4_3057,PP-XB,BCPT,AHY,,B1,1_25_1997,,C,,,,,,,,,,
4_3058,XB-YP,BCPT,AHY,,B1,1_25_1997,,C,,,,,,C,,,,
4_3059,XP-PP,BCPT,AHY,,B1,1_25_1997,,C,,,,S,,,,,,
4_3060,RX-PP,BCPT,AHY,,B1,1_25_1997,,C,,,,,,,,,,
4_3062,XY-PP,BCPT,AHY,,B1,1_26_1997,,C,S,,,,,,,,,
