# Aceitillar data for Mencia pasture succesion manuscript,,,,,,,,,,,,,,,,,,
"# Original file ""Aceitillar 96_02 for Mencia.xls"" from SL via email",,,,,,,,,,,,,,,,,,
"# Original file had 3 worksheets: ""Returned migr"", ""Site persistent migr"" and ""All caps""",,,,,,,,,,,,,,,,,,
#,"Note: original worksheets with ""_migr"" included residents and migrants",,,,,,,,,,,,,,,,,
"# ""Site persistent birds are there for some portion of at least 1 winter – so they were resighted or recaptured at least once.""",,,,,,,,,,,,,,,,,,
"# ""Returned birds are a **subset** of the **site persistent birds** that returned a **subsequent** year.",,,,,,,,,,,,,,,,,,
# All caps is all captures.,,,,,,,,,,,,,,,,,,
"# C = captured (including orig capture); S = re_sighted, CS = captured & resighted in same session; W in comments = NEVER resighted/recaptured after original capture",,,,,,,,,,,,,,,,,,
# W = wanderers,,,,,,,,,,,,,,,,,,
#,,,,,,,Nov,Jan,Mar,Nov,Jan,Mar,Jan,Jan,Jan,Jan,Jan,
#,,,,,,CAP,96,97,97,97,98,98,99,0,1,2,3,
BAND,COLORS,SPECIES,AGE,SEX,SITE,DATA.CAP.ORIG,Nov.96,Jan.97,Mar.97,Nov.97,Jan.98,Mar.98,Jan.99,Jan.00,Jan.01,Jan.02,Jan.03,COMMENTS
3A_004,XP-PR,GRWA,HY,,B2,1_31_2001,,,,,,,,,C,,,
2_5811,YY-BX,GRWA,,,B2,11_15_1996,C,,,,C,S,,,,,,
2_5813,YB-BX,GRWA,,,B2,11_16_1996,CS,,,,,,,,,,,
2_5814,RX-YY,GRWA,,,B2,11_16_1996,C,,,,,,,,,,,
8A_001,X-,HLCU,AHY,,B1,2_3_2001,,,,,,,,,C,,,
1443_32936,X-,HLCU,,,B1,1_18_1999,,,,,,,C,,,,,
1443_32938,X-,HLCU,,,B2,1_23_2000,,,,,,,,C,,,,
1443_32939,X-,HLCU,,,B2,1_23_2000,,,,,,,,C,,,,
1443_32940,X-,HLCU,,,B1,1_25_2000,,,,,,,,C,,C,,
764_58702,X-,HLCU,,,B1,1_27_2000,,,,,,,,C,,,,
764_58703,X-,HLCU,,,B1,1_27_2000,,,,,,,,C,,,,
6A_001,X-,HLCU,,,B2,2_1_2001,,,,,,,,,C,,,
8A_002,X-,HLCU,,,B1,2_4_2001,,,,,,,,,C,,,
1950_82045,X-R,HOWA,HY,F,B1,11_20_1996,C,,,,,,,,,,,
764_58701,X-,KWQD,,,B1,1_27_2000,,,,,,,,C,,,,
764_58705,X-,KWQD,,,B2,2_1_2001,,,,,,,,,C,,,
764_58706,X-,KWQD,,,B1,2_2_2001,,,,,,,,,C,,,
764_58707,X-,KWQD,,,B1,2_3_2001,,,,,,,,,C,,,
2390_24334,X-Y,MAWA,HY,F,B2,3_6_1997,,,C,,S,,,,,,,
2110_81088,X-,MAWA,HY,,B1,2_2_2001,,,,,,,,,C,,,
981_31291,X-,NOMO,AHY,,B1,1_22_1998,,,,,C,,,,,,,
981_31292,X-,NOMO,AHY,,B1,1_22_1998,,,,,C,,,,,,,
4_4853,X-,NOMO,AHY,,B2,2_1_2001,,,,,,,,,C,,,
2390_24351,X-,NOPA,AHY,F,B1,3_12_1997,,,C,,,,,,,,,
2110_80893,X-,NOPA,AHY,M,B2,11_10_1997,,,,CS,,,,,,,,
371,BP-XP,OVEN,AHY,,B2,11_14_1996,CC,,C,,,,,,,,,
377,XY-PP,OVEN,AHY,,B2,11_14_1996,C,,C,C,S,,,,,,,
388,PR-RX,OVEN,AHY,,B2,11_16_1996,C,C,C,,,C,,,,,,
395,PR-XY,OVEN,AHY,,B1,11_19_1996,C,,,,,,,,,,,W
398,XY-BB,OVEN,AHY,,B1,11_19_1996,CC,,,C,,S,C,,,,,
399,XY-YP,OVEN,AHY,,B1,11_19_1996,CC,C,,,,S,C,,C,C,,
1950_82014,BX-BY,OVEN,AHY,,B1,11_20_1996,C,,,CS,,,,,,,,
1950_82015,RB-XB,OVEN,AHY,,B1,11_20_1996,C,,,,S,,,,,,,
1950_82026,RX-YR,OVEN,AHY,,B1,11_20_1996,CC,C,,,,,S,,,,,
1950_82031,RX-RB,OVEN,AHY,,B1,11_20_1996,C,C,C,C,C,,,,,,,
1950_82042,XY-BP,OVEN,AHY,,B1,11_20_1996,C,,,,,,,,,,,W
1950_82043,XP-YR,OVEN,AHY,,B1,11_20_1996,C,C,,,C,,,,,,,
2390_24041,PY-YX,OVEN,AHY,,B1,1_24_1997,,C,,,,,,,,,,W
2390_24042,XY-RY,OVEN,AHY,,B1,1_24_1997,,CC,,,,,,,,,,
2390_24048,XY-YB,OVEN,AHY,,B1,1_25_1997,,C,C,,,S,,,,,,
2390_24328,YP-BX,OVEN,AHY,,B2,3_5_1997,,,C,,,,,,,,,W
2390_24343,PY-XY,OVEN,AHY,,B1,3_11_1997,,,C,,,,,,,,,W
1950_82558,XY-RG,OVEN,AHY,,B2,11_9_1997,,,,C,,,,,,,,W
910_60047,XA-AG,OVEN,AHY,,B2,11_10_1997,,,,C,,,,,,,,W
910_60051,XA-RA,OVEN,AHY,,B2,11_10_1997,,,,C,C,,,,,,,
910_60056,AG-RX,OVEN,AHY,,B1,11_13_1997,,,,C,C,,,,,,,
910_60084,GY-XY,OVEN,AHY,,B2,1_17_1998,,,,,C,,,,,,,W
2121_29230,WR-XY,OVEN,AHY,,B2,1_30_1999,,,,,,,C,,,,,W
2121_29237,X-,OVEN,AHY,,B1,1_26_2000,,,,,,,,C,C,,,
2121_29238,X-,OVEN,AHY,,B1,1_26_2000,,,,,,,,C,,,,W
2121_29255,X-,OVEN,AHY,,B1,2_2_2001,,,,,,,,,C,C,,
2121_29260,X-,OVEN,AHY,,B1,2_4_2001,,,,,,,,,C,,,W
374,XP-YP,OVEN,HY,,B2,11_14_1996,CC,,,,,,,,,,,
378,RY-XY,OVEN,HY,,B2,11_14_1996,CC,,,,,,,,,,,
379,XR-PR,OVEN,HY,,B2,11_14_1996,C,,,,,,,,,,,W
1950_82009,BP-PX,OVEN,HY,,B2,11_14_1996,C,,,,,,,,,,,W
1950_82010,YP-PX,OVEN,HY,,B2,11_14_1996,CS,C,C,,,,,,,,,
381,XP-PP,OVEN,HY,,B2,11_15_1996,CC,,,,,,,,,,,
1950_82011,PY-XP,OVEN,HY,,B2,11_15_1996,C,C,,,,,,,,,,
1950_82012,BX-YY,OVEN,HY,,B2,11_15_1996,C,,,,,,,,,,,species?
910_60005,BX-YY,OVEN,HY,,B2,11_15_1996,C,,C,,,,,C,C,,,
387,YR-XY,OVEN,HY,,B2,11_16_1996,C,,,,,,,,,,,W
394,XB-BR,OVEN,HY,,B1,11_19_1996,C,C,,,,,,,,,,
397,RR-XY,OVEN,HY,,B1,11_19_1996,CC,,,,,,,,,,,
1950_82017,YY-RX,OVEN,HY,,B1,11_20_1996,C,,,,,,,,,,,W
1950_82021,BB-RX,OVEN,HY,,B1,11_20_1996,C,,C,,,,,,,,,
1950_82022,RR-RX,OVEN,HY,,B1,11_20_1996,C,C,,,,,,,,,,
1950_82023,YY-PX,OVEN,HY,,B1,11_20_1996,CC,,,,,,,,,,,
1950_82034,PY-BX,OVEN,HY,,B1,11_20_1996,C,,,C,,,,,,,,
1950_82046,BB-XY,OVEN,HY,,B1,11_20_1996,C,,,,,,,,,,,W
1950_82049,YX-YP,OVEN,HY,,B1,11_21_1996,CS,C,,,,,,,,,,
2390_24039,YX-RR,OVEN,HY,,B2,1_21_1997,,C,,,,,,,,,,W
2390_24050,XP-YB,OVEN,HY,,B1,1_25_1997,,C,,,,,,,,,,W
2390_24054,XR-YP,OVEN,HY,,B1,1_25_1997,,CC,C,,,,,,,,,
2390_24060,XR-YR,OVEN,HY,,B1,1_25_1997,,C,,S,,,S,,,,,
910_60044,XY-GY,OVEN,HY,,B2,11_9_1997,,,,C,,,,,,,,W
910_60045,RX-YA,OVEN,HY,,B2,11_9_1997,,,,CC,,,,,,,,
910_60046,GR-AX,OVEN,HY,,B2,11_10_1997,,,,C,,,,,,,,W
910_60048,YG-XY,OVEN,HY,,B2,11_10_1997,,,,C,,,,,,,,W
910_60049,XG-YY,OVEN,HY,,B2,11_10_1997,,,,C,,,,,,,,W
910_60050,GR-XR,OVEN,HY,,B2,11_10_1997,,,,C,,,,,,,,W
910_60054,RX-GG,OVEN,HY,,B1,11_11_1997,,,,C,,,,,,,,W
910_60055,YG-GX,OVEN,HY,,B1,11_11_1997,,,,C,,S,S,,,,,
910_60052,GY-GX,OVEN,HY,,B2,11_11_1997,,,,C,,,S,,,,,
910_60053,GX-AR,OVEN,HY,,B2,11_11_1997,,,,C,,,,,,,,W
910_60080,YG-XA,OVEN,HY,,B2,1_16_1998,,,,,CC,C,C,,,,,
910_60081,RG-XG,OVEN,HY,,B2,1_16_1998,,,,,C,,,,,,,W
910_60085,GX-YR,OVEN,HY,,B1,1_22_1998,,,,,C,S,,,,,,
910_60086,XA-YR,OVEN,HY,,B1,1_22_1998,,,,,C,C,,C,,,,
910_60087,AX-GY,OVEN,HY,,B1,1_22_1998,,,,,C,C,S,,,,,
910_60088,XG-AY,OVEN,HY,,B1,1_23_1998,,,,,C,,,C,,,,
910_60098,GX-RR,OVEN,HY,,B1,3_4_1998,,,,,,CC,S,C,,,,
2121_29218,YY-WX,OVEN,HY,,B1,1_17_1999,,,,,,,C,,,,,W
2121_29219,YX-WR,OVEN,HY,,B1,1_18_1999,,,,,,,C,,,,,W
2121_29220,WG-RX,OVEN,HY,,B1,1_18_1999,,,,,,,C,C,,C,,
2121_29226,WX-GY,OVEN,HY,,B2,1_28_1999,,,,,,,C,C,C,C,,
2121_29227,GW-YX,OVEN,HY,,B2,1_28_1999,,,,,,,C,C,C,,,
2121_29228,WX-YY,OVEN,HY,,B2,1_28_1999,,,,,,,C,,,,,W
2121_29229,XW-RR,OVEN,HY,,B2,1_28_1999,,,,,,,C,,,,,W
2121_29235,X-,OVEN,HY,,B1,1_25_2000,,,,,,,,C,C,,,
2121_29236,X-,OVEN,HY,,B1,1_26_2000,,,,,,,,C,,,,W
2121_29239,X-,OVEN,HY,,B1,1_26_2000,,,,,,,,C,C,,,
2121_29253,X-,OVEN,HY,,B2,1_31_2001,,,,,,,,,C,,,W
2121_29254,X-,OVEN,HY,,B2,1_31_2001,,,,,,,,,C,,,W
2121_29256,x-,OVEN,HY,,B1,2_2_2001,,,,,,,,,C,C,,
2121_29257,x-,OVEN,HY,,B1,2_3_2001,,,,,,,,,C,C,,
2121_29258,x-,OVEN,HY,,B1,2_3_2001,,,,,,,,,C,,,W
2121_29259,X-,OVEN,HY,,B1,2_3_2001,,,,,,,,,C,,,W
2390_24055,BX-RY,PAWA,HY,,B1,1_25_1997,,C,,,,,,,,,,
2390_24322,XY-PB,PRAW,AHY,M,B2,3_5_1997,,,C,,,,,,,,,
2110_80953,AX-YR,PRAW,HY,F,B2,1_16_1998,,,,,CS,S,,,,,,
2110_80986,AX-GR,PRAW,HY,M,B1,3_4_1998,,,,,,C,,,,,,
981_31271,X-,RBGR,HY,F,B1,11_12_1997,,,,C,,,,,,,,
1581_11231,X-,RBGR,HY,M,B2,2_2_2001,,,,,,,,,C,,,
981_31201,X-,RBGR,,,B1,11_20_1996,C,,,,,,,,,,,
202,X-Y,RLTH,AHY,,B2,11_15_1996,C,,,,,S,,C,,,,
203,X-B,RLTH,AHY,,B2,11_16_1996,C,,,,,,,,,,,
5_3208,X,RLTH,AHY,,B2,11_9_1997,,,,C,,,,,,,,
5_3209,X-,RLTH,AHY,,B2,11_10_1997,,,,C,,,,,,,,
5_3210,X-,RLTH,AHY,,B2,11_10_1997,,,,C,,,,,,,,
5_3211,X-,RLTH,AHY,,B2,11_10_1997,,,,C,,,,,,,,
5_3212,X-,RLTH,AHY,,B2,11_10_1997,,,,C,,,,,,,,
5_3213,X-,RLTH,AHY,,B2,11_10_1997,,,,C,,,,,,,,
5_3217,X-,RLTH,AHY,,B1,11_11_1997,,,,C,,,,,,,,
5_3214,X-,RLTH,AHY,,B2,11_11_1997,,,,C,,,,,,,,
5_3215,X-,RLTH,AHY,,B2,11_11_1997,,,,C,,,,,,,,
5_3216,X-,RLTH,AHY,,B2,11_11_1997,,,,C,,,,,,,,
5_3218,X-,RLTH,AHY,,B1,11_12_1997,,,,C,,,,,,,,
5_3219,X-,RLTH,AHY,,B1,11_13_1997,,,,C,,,,,,,,
5_3223,X-,RLTH,,,B2,1_16_1998,,,,,C,,,,,,,
5_3224,X-,RLTH,,,B2,1_16_1998,,,,,C,,,,,,,
5_3225,X-,RLTH,,,B2,1_17_1998,,,,,C,,,,,,,
5_3226,X-,RLTH,,,B2,1_17_1998,,,,,C,,,,,,,
5_3227,X-,RLTH,,,B2,1_17_1998,,,,,C,,,,,,,
5_3228,X-,RLTH,,,B2,1_17_1998,,,,,C,,,,,,,
5_3229,X-,RLTH,,,B1,1_21_1998,,,,,C,,,,,,,
5_3230,X-,RLTH,,,B1,1_22_1998,,,,,C,C,,,,,,
5_3231,X-,RLTH,,,B1,1_22_1998,,,,,C,,,,,,,
5_3232,X-,RLTH,,,B1,1_22_1998,,,,,C,,,,,,,
5_3233,X-,RLTH,,,B1,1_22_1998,,,,,C,,,,,,,
5_3234,X-,RLTH,,,B1,1_22_1998,,,,,C,,,,,,,
5_3235,X-,RLTH,,,B1,1_23_1998,,,,,C,,,,,,,
5_3236,X-,RLTH,,,B1,1_23_1998,,,,,C,,,,,,,
5_3244,X-,RLTH,,,B1,3_3_1998,,,,,,C,,,,,,
5_3245,X-,RLTH,,,B1,3_4_1998,,,,,,C,,,,,,
5_3246,X-,RLTH,,,B1,3_4_1998,,,,,,C,,,,,,
5_3247,X-,RLTH,,,B1,3_4_1998,,,,,,C,C,,,,,
5_3248,X-,RLTH,,,B1,3_4_1998,,,,,,C,,,,,,
5_3249,X-,RLTH,,,B1,3_4_1998,,,,,,C,,,,,,died in net
5_3250,X-,RLTH,,,B1,3_4_1998,,,,,,C,,,,,,
5_3251,X-,RLTH,,,B1,3_4_1998,,,,,,C,,,,,,
5_3252,X-,RLTH,,,B1,3_4_1998,,,,,,C,,,,,,
5_3253,X-,RLTH,,,B2,3_9_1998,,,,,,C,,,,,,
5_3254,X-,RLTH,,,B2,3_9_1998,,,,,,C,,,,,,
5_3255,X-,RLTH,,,B2,3_9_1998,,,,,,C,,,,,,
5_3256,X-,RLTH,,,B2,3_9_1998,,,,,,C,,,,,,
5_3257,X-,RLTH,,,B2,3_9_1998,,,,,,C,,,,,,
5_3258,X-,RLTH,,,B2,3_9_1998,,,,,,C,,,,,,
5_3259,X-,RLTH,,,B2,3_9_1998,,,,,,C,,,,,,
5_3260,X-,RLTH,,,B2,3_9_1998,,,,,,C,,,,,,
5_3261,X-,RLTH,,,B2,3_9_1998,,,,,,C,,,,,,
5_3262,X-,RLTH,,,B1,1_19_1999,,,,,,,C,,C,,,
5_3268,X-,RLTH,,,B2,1_28_1999,,,,,,,C,,,,,
5_3269,X-,RLTH,,,B2,1_28_1999,,,,,,,C,,,,,
5_3270,X-,RLTH,,,B2,1_29_1999,,,,,,,C,,,,,
5_3272,X-YP,RLTH,,,B2,1_23_2000,,,,,,,,C,,,,
5_3273,X-PR,RLTH,,,B2,1_24_2000,,,,,,,,C,C,,,
5_3274,X-,RLTH,,,B1,1_27_2000,,,,,,,,C,,,,
5_3278,X-,RLTH,,,B2,1_31_2001,,,,,,,,,C,,,
5_3279,X-,RLTH,,,B2,2_1_2001,,,,,,,,,C,,,
5_3280,X-,RLTH,,,B2,2_1_2001,,,,,,,,,C,,,
5_3281,X-,RLTH,,,B2,2_1_2001,,,,,,,,,C,,,
5_3282,X-,RLTH,,,B1,2_3_2001,,,,,,,,,C,,,
5_3283,X-,RLTH,,,B1,2_4_2001,,,,,,,,,C,,,
5_3284,X-,RLTH,,,B1,2_4_2001,,,,,,,,,C,,,
5_3285,X-,RLTH,,,B1,2_4_2001,,,,,,,,,C,,,
,R-,SSHA,AHY,,B1,1_24_1997,,C,,,,,,,,,,
1591_44035,RX-YP,STOF,AHY,,B1,1_24_1997,,C,,,,S,S,,,,,
1591_44036,XP-YP,STOF,AHY,,B1,1_24_1997,,C,,S,S,,S,,,,,
1591_44040,XR-YP,STOF,AHY,,B1,1_25_1997,,C,,S,CS,,S,,,,,
1591_44053,XB-BB,STOF,AHY,,B1,1_25_1997,,C,,,,,,,,,,
1591_43824,XP-BP,STOF,AHY,,B2,3_5_1997,,,CC,,S,S,,,,,,
1591_43830,XP-BY,STOF,AHY,,B2,3_5_1997,,,C,,,,,,,,,
1591_43850,XY-RY,STOF,AHY,,B2,3_6_1997,,,C,,,,,,,,,
1591_43851,RX-PR,STOF,AHY,,B2,3_6_1997,,,C,,,,,,,,,
1591_43853,BR-XY,STOF,AHY,,B2,3_6_1997,,,C,,,,,,,,,
1591_43862,XY-BP,STOF,AHY,,B1,3_10_1997,,,CS,S,S,S,S,,,,,
1591_43879,YP-XR,STOF,AHY,,B1,3_11_1997,,,C,S,,,,,,,,
1591_43943,YG-XY,STOF,AHY,,B2,11_9_1997,,,,C,,,,,,,,
1591_43962,GY-GX,STOF,AHY,,B2,11_11_1997,,,,C,,,,,,,,
1591_43969,YX-YA,STOF,AHY,,B1,11_12_1997,,,,C,,,,,,,,
1591_43974,XA-GG,STOF,AHY,,B1,11_12_1997,,,,C,,,,,,,,
1591_44254,XW-YG,STOF,AHY,,B2,1_29_1999,,,,,,,C,,,,,
1511_43433,X-R,STOF,,,B1,11_20_1996,C,,,,S,,S,,,,,
1591_44003,BP-XP,STOF,,,B2,1_19_1997,,C,S,S,S,,S,,C,,,
1591_44027,XY-YP,STOF,,,B2,1_21_1997,,C,,,S,,,,,,,
1591_44032,BX-YP,STOF,,,B2,1_21_1997,,C,,,,,,,,,,
1591_43873,BX-RB,STOF,,,B1,3_11_1997,,,C,,,,,,,C,,
1521_02553,XY-GR,STOF,,,B2,1_16_1998,,,,,CS,,,,,,,
1521_02565,AX-GR,STOF,,,B2,1_17_1998,,,,,C,,,,,,,
1521_02570,AG-XY,STOF,,,B2,1_17_1998,,,,,C,,,,,,,
1521_02571,RX-RG,STOF,,,B2,1_17_1998,,,,,C,,,,,,,
1521_02572,AY-XY,STOF,,,B2,1_17_1998,,,,,C,,,,,,,
1521_02579,GX-YG,STOF,,,B2,1_18_1998,,,,,C,,,,,,,
1521_02584,RX-AG,STOF,,,B1,1_21_1998,,,,,C,,,,,,,
1521_02589,GX-YA,STOF,,,B1,1_22_1998,,,,,C,,C,,,,,
1521_02598,YX-AY,STOF,,,B1,1_22_1998,,,,,C,,,,,,,
1521_02600,AX-RY,STOF,,,B1,1_23_1998,,,,,C,,,,,,,
1591_44101,RX-AY,STOF,,,B1,1_23_1998,,,,,C,,,,,,,
1591_44102,GY-XY,STOF,,,B1,1_23_1998,,,,,C,,,,,,,
1591_44141,GR-RX,STOF,,,B1,3_4_1998,,,,,,C,S,,,,,
1591_44149,GX-YR,STOF,,,B2,3_9_1998,,,,,,C,,,,,,
1591_44261,GX-GW,STOF,,,B2,1_30_1999,,,,,,,C,,,,,
1591_44291,BX-RA,STOF,,,B1,1_26_2000,,,,,,,,C,,,,
1591_82634,PX-PY,STOF,,,B2,2_1_2001,,,,,,,,,C,,,
1591_82640,XY-YR,STOF,,,B2,2_1_2001,,,,,,,,,C,S,S,S in nest study
1591_82653,YX-YB,STOF,,,B1,2_3_2001,,,,,,,,,C,,,
1511_43423,X-R,WOTH,,,B1,11_20_1996,C,,,,,,,,,,,
2110_81080,X-,YFGR,AHY,M,B2,2_1_2001,,,,,,,,,C,,,
2_6893,X-,YFGR,,F,B2,1_23_2000,,,,,,,,C,,,,
2_6895,X-,YFGR,,M,B2,1_23_2000,,,,,,,,C,,,,
1443_32937,X-,ZEDO,,,B1,1_18_1999,,,,,,,C,,,,,
1533_11202,X-,ZEDO,,,B1,2_3_2001,,,,,,,,,C,,,
